Unnamed: 0,Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,...1,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Minimum_temperature,Maximum_temperature,peak_date
94,Coyote,Y6,2016-07-08,40.11030765,-120.4171755,8.821579661,0.628496516,0.256536003,,,45511,43142,42294,39996,17677,18844,1009,1702,2.2151162754326843,282.79998779296875,296.6000061035156,2016-01-28
95,Coyote,Y7,2016-07-08,40.11120024,-120.4188502,7.815537735,0.562677568,0.227384185,,,45197,42680,41954,39692,17602,18730,1009,1702,1.212552994501687,282.79998779296875,296.6000061035156,2016-01-28
96,Coyote,Y9,2016-07-08,40.1113419,-120.4195474,9.613114377,0.695717844,0.40812546,,,45314,42794,42050,39796,17273,18585,1009,1703,1.526388061993587,282.79998779296875,296.6000061035156,2016-01-28
97,Davies,DVG1,2016-09-22,39.504158,-120.097842,6.698083368,,0.117773347,,,28768,27749,28286,33888,8399,8646,396,1826,8.026149313809361,274.29998779296875,292.6000061035156,2016-01-12
98,Davies,DVG5,2016-09-22,39.50439798,-120.099116,6.561562882,,0.066507302,,,39073,38335,38578,36442,8278,9089,393,1825,2.575117828245166,273.0,291.20001220703125,2016-01-12
99,Davies,DVR3,2016-09-22,39.50389196,-120.097341,6.269515342,,0.912743438,,,34672,33156,32419,32527,16808,17076,396,1828,10.237301232350779,274.29998779296875,292.6000061035156,2016-01-28
100,Davies,DVR5,2016-09-22,39.50397997,-120.098518,5.870663239,,0.692721413,,,34202,33010,32319,32265,16599,16839,396,1830,6.889860262518605,274.29998779296875,292.6000061035156,2016-01-28
101,Dotta,DG1,2016-06-29,39.90285999,-120.36843,14.13677617,,4.219143043,,,50857,50897,53256,53140,13817,14147,19,1707,6.0450649950142195,280.70001220703125,302.20001220703125,2016-11-27
102,Dotta,DG5,2016-06-29,39.90276796,-120.368202,11.40140834,,2.630899772,,,49626,50328,52997,53097,13820,14156,19,1707,2.416633358219904,280.70001220703125,302.20001220703125,2016-11-27
103,Dotta,DSG5,2016-06-29,39.90319602,-120.36797,8.209761817,,0.186688246,,,47230,47671,50523,51325,13513,13707,19,1711,4.419641393166482,280.70001220703125,302.20001220703125,2016-11-27
104,Kyburz,KG2,2016-09-16,39.50670501,-120.233205,7.828920487,,1.451729697,,,48747,48332,49994,48382,12701,13362,19,1931,3.0338218693462706,274.5,293.20001220703125,2016-11-27
105,Kyburz,KG4,2016-09-16,39.50689604,-120.233186,7.647325851,,0.453427386,,,48209,47367,48746,47249,12514,13098,19,1931,3.0338218693462706,274.5,293.20001220703125,2016-11-27
106,Kyburz,KSG2,2016-09-16,39.50656202,-120.233528,9.980789039,,0.247324029,,,48056,47346,48974,47663,12568,13168,22,1929,3.028221652440316,274.5,293.20001220703125,2016-11-27
107,Kyburz,KSG4,2016-09-16,39.50673896,-120.233491,11.81445665,,0.51231406,,,48625,47974,49514,47911,12705,13289,22,1930,3.6016020589793296,274.5,293.20001220703125,2016-11-27
108,McReynolds,MG1,2016-06-28,39.95630301,-120.496784,15.19366048,,5.112330183,,,47695,44898,44150,41477,18200,20009,1288,1653,3.741235561977899,281.1000061035156,302.3999938964844,2016-01-28
109,McReynolds,MG5,2016-06-28,39.95612204,-120.496686,16.69518236,,8.802866025,,,47825,45101,44403,41641,18246,20132,1288,1653,1.2097962448918014,281.1000061035156,302.3999938964844,2016-01-28
110,McReynolds,MSG1,2016-06-28,39.95620804,-120.496047,4.981793759,,2.518892033,,,47435,45002,44092,41340,18527,20244,1288,1652,0.9274099368492421,281.1000061035156,302.3999938964844,2016-01-28
111,McReynolds,MSG5,2016-06-28,39.956187,-120.495788,7.09431275,,2.776642124,,,41051,40179,41327,42466,13351,13580,1288,1653,1.524199802156744,279.70001220703125,302.29998779296875,2016-11-27
112,Perazzo,ZG1,2016-09-16,39.47856001,-120.384892,10.107264,,2.102254243,,,34597,37150,37991,39935,9068,9353,1,2004,14.532330980935077,275.29998779296875,292.0,2016-01-12
113,Perazzo,ZG3,2016-09-16,39.47876201,-120.384714,10.25476069,,2.779450987,,,41024,42225,43876,43235,9357,9887,1,2012,10.694591304599172,275.29998779296875,292.0,2016-01-12
114,Perazzo,ZR1,2016-09-16,39.47834903,-120.383887,5.503397201,,0.635976073,,,36945,36416,37624,37504,9167,9689,1,2001,5.158915163998462,275.29998779296875,292.0,2016-01-12
115,Perazzo,ZR5,2016-09-16,39.47819003,-120.383726,12.43136994,,1.195399471,,,39689,40830,42074,40423,9656,10241,1,2001,5.158915163998462,275.29998779296875,292.0,2016-01-12
116,Perazzo,ZSG2,2016-09-16,39.47850402,-120.384429,8.005272639,,0.647753408,,,35534,37511,38441,37563,9223,9815,1,2003,9.493370192405951,275.29998779296875,292.0,2016-01-12
117,Perazzo,ZSG4,2016-09-16,39.47862798,-120.383954,10.20213845,,1.890262218,,,32300,33620,35002,37149,9162,9470,1,2003,9.493370192405951,275.29998779296875,292.0,2016-01-12
118,Upper Clarks,UCG1,2016-08-19,40.13691097,-120.508828,9.736453948,,3.496396237,,,42808,42942,44098,40562,7878,8384,4,1702,11.519101111941781,287.6000061035156,303.3999938964844,2016-01-12
119,Upper Clarks,UCG5,2016-08-19,40.13672196,-120.508761,8.566544307,,3.049983293,,,44082,43943,45011,42094,9247,9939,4,1699,11.379710368990636,287.6000061035156,303.3999938964844,2016-02-20
120,Upper Clarks,UCSG2,2016-08-19,40.13715598,-120.508647,10.06810384,,4.556706875,,,42668,40315,39811,38320,13194,14049,4,1702,9.585620664288763,287.6000061035156,303.3999938964844,2016-03-07
121,Upper Clarks,UCSG4,2016-08-19,40.13715598,-120.508408,10.42832544,,0.507897559,,,42668,40315,39811,38320,13194,14049,253,1702,9.585620664288763,287.6000061035156,303.3999938964844,2016-03-07
122,Van Norden,NR2,2017-08-14,39.318036,-120.366214,5.375830352,,4.917037234,,,51061,49915,49633,46162,9356,10171,1,2067,0.0,282.1000061035156,295.5,2017-01-14
123,Van Norden,NR4,2017-08-14,39.31784296,-120.366134,7.903479906,,3.491979737,,,51061,49915,49633,46162,9356,10171,1,2067,0.0,282.1000061035156,295.5,2017-01-14
124,Upper Lacey,LASC1,2019-08-29,39.45151001,-120.434307,8.187737781,0.602818207,1.260174812,,,41801,41146,41874,39546,9297,9935,69,2104,6.260721285079777,285.5,298.5,2019-04-10
125,Upper Lacey,LASC2,2019-08-29,39.45216598,-120.433713,7.89323547,0.706984685,0.924520774,,,41863,41766,42415,39619,9339,9966,69,2102,2.208831075752821,285.5,298.5,2019-04-10
126,Upper Lacey,LASC3,2019-08-29,39.45264601,-120.432585,6.064611704,0.498818224,2.343689604,,,43740,41634,41358,41070,22026,19534,7,2097,1.5172346530491143,285.5,298.5,2019-02-05
127,Upper Lacey,LASC4,2019-08-29,39.45335797,-120.432288,7.757151803,0.719594319,1.925594223,,,43381,41101,40788,40268,21398,18867,7,2097,2.2088414798175497,285.5,298.5,2019-02-05
128,Upper Lacey,LASC6,2019-08-29,39.45563802,-120.43028,8.999654699,0.783280424,2.520349625,,,41733,40927,41611,39052,9360,9934,74,2094,2.208862290039031,285.5,298.5,2019-04-10
129,Lower Bear Creek,LBSC1,2019-07-19,39.18634599,-120.208439,13.71192374,0.795992069,2.231804925,,,56699,55124,54540,51496,11923,14866,76,1916,5.119673703964028,281.8999938964844,297.1000061035156,2019-01-20
130,Lower Bear Creek,LBSC2,2019-07-19,39.18611398,-120.20895,7.376070126,0.398764572,0.765526755,,,57112,55394,54775,51558,13530,15407,76,1915,3.026050129423403,281.8999938964844,297.1000061035156,2019-01-20
131,Lower Bear Creek,LBSC3,2019-07-19,39.18654003,-120.209169,8.996407811,0.526545554,3.168103032,,,56520,54657,53864,50565,13149,15154,76,1920,7.300468998742047,281.8999938964844,297.1000061035156,2019-01-20
