ID,Area_m2,Area_km2,NDVI,NDWI
522.0,16558.616,0.01656,0.15547413498433307,0.007100219918316054
534.0,13116.087,0.01312,0.18874844396813237,0.016946582621960294
695.0,5234.934,0.00523,0.12391563920612177,
699.0,18476.347,0.01848,0.15468703312474985,0.027148176264324187
701.0,4807.34,0.00481,0.1693032336670538,
703.0,32076.875,0.03208,0.19204741883356502,0.04405918342043587
707.0,56974.068,0.05697,0.1292381615339649,
721.0,5888.315,0.00589,,
734.0,7514.268,0.00751,0.14930470581152278,0.05931842723597197
786.0,36728.707,0.03673,0.1818953239762385,0.03332407280035168
796.0,5268.399,0.00527,0.18600263273219966,0.047222533661241586
797.0,18112.948,0.01811,0.18290201734844155,
815.0,6298.358,0.0063,0.1913493365451393,
937.0,9658.19,0.00966,0.1626930570682458,0.05096897872087742
949.0,11499.697,0.0115,0.12543876009144164,0.06682622803367305
968.0,55559.624,0.05556,0.13001044156785274,0.06972368669447565
985.0,25105.383,0.02511,0.16021668598577005,0.07772638862295368
988.0,18636.976,0.01864,0.025902150234482006,0.10319995227202619
995.0,39199.202,0.0392,0.0810894886070353,0.06091262388426303
1012.0,13713.634,0.01371,0.057472019687815394,0.052328744252638636
1016.0,7903.459,0.0079,0.09399746134403672,0.054046469014077836
1025.0,6318.225,0.00632,0.0791966993228487,
1026.0,22246.61,0.02225,0.17560229857777432,0.044883608597234274
1028.0,12132.31,0.01213,0.17963662175165468,0.033515832172942635
1030.0,36129.073,0.03613,0.19244393805450896,0.0628218635597696
1032.0,36549.299,0.03655,0.14454179615519883,0.166327166265015
1033.0,20879.139,0.02088,0.12591839762684004,0.037995829717684386
1034.0,7040.907,0.00704,0.11854015742302133,0.022216812558089254
1038.0,17490.82,0.01749,0.14719740692759575,0.01929081234653166
1039.0,17579.202,0.01758,0.16952779153911074,0.0498464404504526
1040.0,5388.281,0.00539,,0.16805911997539658
1042.0,11899.222,0.0119,0.15451096701212425,0.048988506739235715
1044.0,11429.721,0.01143,0.05577885234168365,0.04092703281945158
1050.0,5278.969,0.00528,0.1457011364735189,0.005798529191082235
1055.0,6397.013,0.0064,0.004631372844340688,0.1413758136089347
1058.0,9015.834,0.00902,0.02051150218395211,0.04226562509327528
1060.0,8381.228,0.00838,0.03640594221613199,0.002652856984003431
1062.0,46215.021,0.04622,0.02313088958354775,0.07833912737277283
1063.0,72112.626,0.07211,0.1822158396619301,0.07609666373911245
1065.0,7157.665,0.00716,0.08042891202408722,0.046129659062968835
1066.0,12508.279,0.01251,0.18704092627771024,0.013107557227971151
1069.0,10476.342,0.01048,0.10389812292514675,0.03632550558164685
1074.0,32096.638,0.0321,0.14514390390938992,0.03958282724127486
1079.0,53439.241,0.05344,0.14188936369451746,0.058652059475243774
1082.0,30365.933,0.03037,0.127353155147595,0.03159654341179321
1084.0,4161.717,0.00416,0.1591693598327732,0.032028824538088065
1085.0,10050.313,0.01005,0.14661411018452306,0.034184587379664406
1086.0,8724.203,0.00872,0.07406631834685284,0.030059414338954905
1091.0,4836.755,0.00484,0.18492691730028263,0.041177478258309405
1099.0,36677.258,0.03668,0.1976805985738255,0.0412176563197894
1126.0,10169.898,0.01017,0.015574560165658207,0.018661280781712385
1132.0,10681.299,0.01068,0.051716129237067164,
1135.0,12606.59,0.01261,0.14617012967925996,0.037819175372444634
1145.0,7069.154,0.00707,0.14286634871573856,0.08177546208018273
1146.0,13748.48,0.01375,0.18954370789551164,0.04070951302130374
1148.0,6828.522,0.00683,0.14753352016173216,0.0639849471071782
1149.0,28224.818,0.02822,0.12564240314252986,0.04511120994672849
1153.0,4602.817,0.0046,0.12278571237165861,0.018150432047664818
1159.0,15535.687,0.01554,0.17593269330421676,0.036649813709297076
1163.0,8616.192,0.00862,0.07255404170661128,0.032765013091043856
1167.0,33961.061,0.03396,0.14388114465598145,0.04842475854812246
1168.0,10982.395,0.01098,0.044702469549319494,0.037643027652502874
1174.0,7008.282,0.00701,0.1847338353869427,0.06585537486391707
1183.0,8638.232,0.00864,0.10689531367251842,0.026500458334268714
1185.0,5961.63,0.00596,0.04693533832089679,0.027632184739830378
