Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Minimum_temperature,Maximum_temperature,peak_date
Osa,O13,2016-07-13,36.18142686,-118.3089308,364.32,,52512,51398,51218,48694,11174,11328,27,2588,9.44279016402886,279.6000061035156,295.0,2016-01-14
Osa,O14,2016-07-12,36.18149,-118.30861,7.2,,52367,51131,51005,48537,11236,11373,27,2588,6.5644666801455,278.6000061035156,294.5,2016-01-14
Osa,O15,2016-07-13,36.18121809,-118.3085611,17.12,,52098,51054,50943,48140,10981,11196,27,2586,2.476737160251016,279.6000061035156,295.0,2016-01-14
Osa,O16,2016-07-12,36.18095,-118.30852,24.0,,51564,50199,50085,47546,10908,11241,27,2589,5.8860015363402,278.6000061035156,294.5,2016-01-14
Osa,O17,2016-07-13,36.18096965,-118.3081823,51.2,,51383,49900,49827,47209,11002,11290,26,2588,3.007642154202962,279.6000061035156,295.0,2016-01-14
Osa,O18,2016-07-12,36.18116,-118.30889,251.84,,51899,50633,50510,47925,11086,11314,27,2585,4.421309201634604,278.6000061035156,294.5,2016-01-14
Osa,O19,2016-07-13,36.18136106,-118.3105484,92.96,,50261,48785,48268,45941,11384,11556,27,2584,3.565254484143017,279.6000061035156,295.0,2016-01-14
Osa,O2,2016-07-12,36.18089,-118.30946,151.52,,51447,50171,50228,47645,11114,11347,27,2585,4.421299746418954,278.6000061035156,294.5,2016-01-14
Osa,O20,2016-07-12,36.18123,-118.31026,18.88,,51245,50410,49979,47356,11160,11430,27,2586,5.357293234431687,278.6000061035156,294.5,2016-01-14
Osa,O21,2016-07-13,36.18109266,-118.3099457,52.64,,51247,50167,49911,47354,11095,11422,27,2587,3.5652427260207324,279.6000061035156,295.0,2016-01-14
Osa,O22,2016-07-12,36.18087,-118.31015,6.4,,51247,50167,49911,47354,11095,11422,27,2584,3.565242725935911,278.6000061035156,294.5,2016-01-14
Osa,O23,2016-07-13,36.18100497,-118.3104432,38.72,,50018,48876,48605,46276,11237,11475,27,2584,0.9274099368729609,279.6000061035156,295.0,2016-01-14
Osa,O24,2016-07-12,36.18114,-118.31073,147.68,,50261,48785,48268,45941,11384,11556,27,2583,1.4763751382290655,278.6000061035156,294.5,2016-01-14
Osa,O3,2016-07-13,36.18101572,-118.3091665,47.2,,51416,50307,50230,47613,10970,11283,27,2584,2.7802885155642585,279.6000061035156,295.0,2016-01-14
Osa,O4,2016-07-12,36.18078,-118.309,22.88,,51350,49975,49978,47375,10862,11260,27,2588,5.885988987701018,278.6000061035156,294.5,2016-01-14
Osa,O5,2016-07-13,36.1806546,-118.3092859,33.44,,51475,50281,50246,47667,11044,11327,27,2586,3.877908796735752,279.6000061035156,295.0,2016-01-14
Osa,O6,2016-07-12,36.18052,-118.30958,1.92,,51145,49249,49262,46919,11141,11449,27,2588,2.1809952385742566,278.6000061035156,294.5,2016-01-14
Osa,O7,2016-07-13,36.1814894,-118.3079751,119.68,,52584,50902,50954,48513,11294,11400,26,2588,6.854305069825542,279.6000061035156,295.0,2016-01-14
Osa,O8,2016-07-12,36.18144,-118.30765,35.04,,51629,50446,50213,47654,11194,11357,26,2590,5.886026634369163,278.6000061035156,294.5,2016-01-14
Osa,O9,2016-07-13,36.18138722,-118.3073222,59.84,,51199,49754,49588,47002,10866,11114,26,2591,6.015283751244173,279.6000061035156,295.0,2016-01-14
Partnership,P1,2016-07-13,36.15727778,-118.2742293,84.0,,51224,48518,47913,45215,16720,17533,3,2673,6.859457233616013,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P10,2016-07-14,36.15833,-118.27481,100.64,,51038,48453,47826,45020,16605,17394,3,2675,1.1485987568058436,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P11,2016-07-13,36.15833642,-118.2744777,66.24,,50947,48323,47717,44903,16466,17233,3,2675,1.476112318888178,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P12,2016-07-14,36.1586,-118.27451,26.72,,50979,48407,47782,45002,16598,17346,2,2674,0.0,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P13,2016-07-13,36.15887679,-118.2742128,108.64,,50942,48480,47808,44949,16679,17442,2,2674,3.877814063682502,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P14,2016-07-14,36.15861,-118.27418,299.2,,50863,48417,47753,44933,16635,17379,2,2674,2.9502740618627294,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P15,2016-07-13,36.15834295,-118.274147,56.32,,50828,48235,47638,44776,16510,17251,3,2676,2.9502677453806543,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P16,2016-07-14,36.15807,-118.27445,233.6,,50903,48278,47685,44930,16288,17109,3,2675,2.4761039459421226,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P17,2016-07-13,36.1563861,-118.2768673,219.36,,50797,48256,47606,44855,16685,17365,4,2667,5.663749302689168,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P18,2016-07-14,36.15657,-118.27711,180.8,,50793,48213,47581,44859,16504,17239,4,2668,7.465779395933806,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P19,2016-07-13,36.156755,-118.2773524,507.68,,50832,48318,47691,44859,16719,17413,4,2665,3.5642086523135075,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P2,2016-07-14,36.15755,-118.27422,115.52,,51012,48410,47731,45016,16489,17278,3,2673,4.942963393524792,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P20,2016-07-14,36.15694,-118.2776,114.56,,50918,48353,47718,44943,16643,17377,4,2669,4.942933427413983,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P21,2016-07-13,36.15712751,-118.2773687,43.2,,50893,48407,47755,44963,16776,17473,4,2667,5.161351221200245,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P22,2016-07-14,36.15694,-118.27713,94.72,,50893,48407,47755,44963,16776,17473,4,2667,5.161351221200245,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P23,2016-07-13,36.15676109,-118.2768804,199.84,,50751,48339,47697,44862,16781,17511,4,2666,4.942918444731156,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P24,2016-07-14,36.15658,-118.27664,71.84,,50874,48437,47712,44963,16880,17619,4,2667,1.4760901685071768,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P3,2016-07-13,36.15756664,-118.2745466,257.92,,51027,48424,47759,44969,16460,17317,3,2672,3.0075104156831065,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P4,2016-07-14,36.15782,-118.27421,147.2,,50880,48203,47549,44835,16354,17118,3,2675,3.603648976672679,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P5,2016-07-13,36.15807465,-118.2741117,58.72,,50829,48195,47580,44803,16407,17139,3,2676,2.4761039459965164,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P6,2016-07-14,36.1578,-118.27389,30.24,,50866,48243,47601,44788,16577,17358,3,2676,3.5642556281613196,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P7,2016-07-13,36.15752373,-118.273889,264.48,,51047,48348,47720,45020,16605,17377,3,2676,8.041279639692371,277.29998779296875,295.6000061035156,2016-01-30
Partnership,P8,2016-07-14,36.15726,-118.2739,121.92,,51259,48472,47899,45192,16714,17553,3,2677,7.988975342796504,281.1000061035156,298.70001220703125,2016-01-30
Partnership,P9,2016-07-13,36.15806149,-118.2747739,42.56,,50974,48434,47807,44962,16579,17409,3,2674,2.4761039459965164,277.29998779296875,295.6000061035156,2016-01-30
Perazzo,ZG1,2016-09-16,39.47856001,-120.384892,472.0,0.0,34597,37150,37991,39935,9068,9353,1,2004,14.532330980935077,275.29998779296875,292.0,2016-01-12
Perazzo,ZG3,2016-09-16,39.47876201,-120.384714,366.4,0.0,41024,42225,43876,43235,9357,9887,1,2012,10.694591304599172,275.29998779296875,292.0,2016-01-12
Perazzo,ZR1,2016-09-16,39.47834903,-120.383887,332.8,0.0,36945,36416,37624,37504,9167,9689,1,2001,5.158915163998462,275.29998779296875,292.0,2016-01-12
Perazzo,ZR5,2016-09-16,39.47819003,-120.383726,449.6,0.0,39689,40830,42074,40423,9656,10241,1,2001,5.158915163998462,275.29998779296875,292.0,2016-01-12
Perazzo,ZSG2,2016-09-16,39.47850402,-120.384429,438.4,109.2636792,35534,37511,38441,37563,9223,9815,1,2003,9.493370192405951,275.29998779296875,292.0,2016-01-12
Perazzo,ZSG4,2016-09-16,39.47862798,-120.383954,283.2,180.1716563,32300,33620,35002,37149,9162,9470,1,2003,9.493370192405951,275.29998779296875,292.0,2016-01-12
Poco,P7,2016-07-07,39.97169059,-120.5279623,225.76,,39393,37110,36518,35319,13463,14185,1394,1644,3.7420182020618573,279.1000061035156,297.0,2016-03-07
Poco,P9,2016-07-07,39.97208613,-120.5284366,656.64,,39417,37141,36598,35385,13525,14264,1394,1646,3.046688950638249,279.1000061035156,297.0,2016-03-07
Poco,P2,2016-07-07,39.9694351,-120.5234843,731.84,,43608,41013,40295,37914,17485,18970,1385,1646,3.0314338614837495,279.1000061035156,297.0,2016-01-28
Poco,P6,2016-07-07,39.96957659,-120.5230065,760.96,,41386,41276,42376,37894,8197,8489,1385,1645,4.9167946515239755,279.1000061035156,297.0,2016-01-12
Poco,P11,2016-07-07,39.97209133,-120.5279566,824.0,,39373,37111,36541,35305,13512,14247,1394,1644,3.0466889506872543,279.1000061035156,297.0,2016-03-07
Poco,P4,2016-07-07,39.96977356,-120.5236449,877.76,,42581,40113,39341,37064,17246,18627,1385,1646,4.564570574268703,279.1000061035156,297.0,2016-01-28
