Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
Coyote,Y7,7/8/2016,40.11120024,-120.4188502,7.815537735,0.562677568,0.227384185,NA
Coyote,Y8,7/8/2016,40.11126839,-120.4192016,NA,NA,NA,NA
Coyote,Y9,7/8/2016,40.1113419,-120.4195474,9.613114377,0.695717844,0.40812546,NA
Upper Lacey,LASC1,8/29/2019,39.45151001,-120.434307,8.187737781,0.602818207,1.260174812,NA
Upper Lacey,LASC2,8/29/2019,39.45216598,-120.433713,7.89323547,0.706984685,0.924520774,NA
Upper Lacey,LASC3,8/29/2019,39.45264601,-120.432585,6.064611704,0.498818224,2.343689604,NA
Upper Lacey,LASC4,8/29/2019,39.45335797,-120.432288,7.757151803,0.719594319,1.925594223,NA
Upper Lacey,LASC5,8/29/2019,NA,NA,7.794633702,0.70052721,1.4427235,NA
Upper Lacey,LASC6,8/29/2019,39.45563802,-120.43028,8.999654699,0.783280424,2.520349625,NA
Lower Bear Creek,LBSC1,7/19/2019,39.18634599,-120.208439,13.71192374,0.795992069,2.231804925,NA
Lower Bear Creek,LBSC2,7/19/2019,39.18611398,-120.20895,7.376070126,0.398764572,0.765526755,NA
Lower Bear Creek,LBSC3,7/19/2019,39.18654003,-120.209169,8.996407811,0.526545554,3.168103032,NA
Lower Bear Creek,LBSC4,7/19/2019,39.18424197,-120.210052,13.83354536,0.84450065,0.830302096,NA
Lower Bear Creek,LBSC5,7/19/2019,39.18405304,-120.210156,14.08568408,0.869223407,2.184695585,NA
Lower Bear Creek,LBSC6,7/19/2019,39.184204,-120.21036,15.05407103,0.80608201,2.838337661,NA
Lower Lacey,LLE3,7/20/2019,39.474604,-120.418731,9.71172803,0.919443205,3.009109014,NA
Lower Lacey,LLESC1,7/20/2019,39.46904697,-120.421071,10.86728281,1.028148399,7.137064823,NA
Lower Lacey,LLESC2,7/20/2019,39.47017903,-120.419731,13.91616058,1.312453935,7.343168181,NA
Lower Lacey,LLWSC1,7/20/2019,39.47227903,-120.424778,9.342796035,0.879479653,5.45879463,NA
Lower Lacey,LLWSC2,7/20/2019,39.47278203,-120.422937,10.59664519,0.828611939,9.839963135,NA
Lower Lacey,LLWSC3,7/20/2019,39.47439102,-120.418757,10.12777593,0.679659949,6.995736808,NA
Lower Perazzo,LPC1SC,8/13/2019,39.49437699,-120.323397,4.494553189,0.343838785,6.87796346,NA
Lower Perazzo,LPC2SC,8/13/2019,39.49442997,-120.323506,6.149810314,0.447320418,5.076031253,NA
Lower Perazzo,LPC3SC,8/13/2019,39.49450599,-120.323598,5.29915283,0.521439434,3.315319716,NA
Lower Perazzo,LPC4SC,8/13/2019,39.49452301,-120.323705,6.023423168,0.562344164,2.77356232,NA
Lower Perazzo,LPC5SC,8/13/2019,NA,NA,6.954756249,0.545564505,5.394019289,NA
Lower Perazzo,LPC6SC,8/13/2019,NA,NA,8.352224504,0.608164922,5.988774691,NA
Martis Wildlife,MWSC10,7/13/2019,39.29928199,-120.13364,1.595658382,0.1095451,1.925594222,NA
Martis Wildlife,MWSC12,7/13/2019,39.299297,-120.132947,10.7720733,0.820000125,6.583530093,NA
Martis Wildlife,MWSC14,7/13/2019,39.29956103,-120.132922,5.82928673,0.461381225,3.66275109,NA
Martis Wildlife,MWSC16,7/13/2019,39.299614,-120.134055,8.851223407,0.714571095,12.75485347,NA
Martis Wildlife,MWSC18,7/13/2019,39.29988901,-120.133615,12.58634423,1.002639074,7.531605536,NA
Martis Wildlife,MWSC2,7/13/2019,39.29878998,-120.133986,10.0200826,0.757990764,7.513939534,NA
Martis Wildlife,MWSC20,7/13/2019,39.29983503,-120.132924,9.665067332,0.793163964,12.38386743,NA
Martis Wildlife,MWSC22,7/13/2019,39.30014499,-120.133256,12.03326,0.937733671,19.35604957,NA
Martis Wildlife,MWSC24,7/13/2019,39.30014198,-120.133961,7.656375417,0.548236858,12.30731476,NA
Martis Wildlife,MWSC4,7/13/2019,39.29875997,-120.132971,12.12468948,0.825821721,6.206655382,NA
Martis Wildlife,MWSC6,7/13/2019,39.29894303,-120.132956,10.68012944,0.79096405,18.82606951,NA
Martis Wildlife,MWSC8,7/13/2019,39.29901796,-120.133627,6.209316215,0.440168276,16.76503594,NA
Davies,DVG1,9/22/2016,39.504158,-120.097842,6.698083368,NA,0.117773347,NA
Davies,DVG5,9/22/2016,39.50439798,-120.099116,6.561562882,NA,0.066507302,NA
Davies,DVR3,9/22/2016,39.50389196,-120.097341,6.269515342,NA,0.912743438,NA
Davies,DVR5,9/22/2016,39.50397997,-120.098518,5.870663239,NA,0.692721413,NA
Dotta,DG1,6/29/2016,39.90285999,-120.36843,14.13677617,NA,4.219143043,NA
Dotta,DG5,6/29/2016,39.90276796,-120.368202,11.40140834,NA,2.630899772,NA
Dotta,DSG5,6/29/2016,39.90319602,-120.36797,8.209761817,NA,0.186688246,NA
Kyburz,KG2,9/16/2016,39.50670501,-120.233205,7.828920487,NA,1.451729697,NA
Kyburz,KG4,9/16/2016,39.50689604,-120.233186,7.647325851,NA,0.453427386,NA
Kyburz,KSG2,9/16/2016,39.50656202,-120.233528,9.980789039,NA,0.247324029,NA
Kyburz,KSG4,9/16/2016,39.50673896,-120.233491,11.81445665,NA,0.51231406,NA
McReynolds,MG1,6/28/2016,39.95630301,-120.496784,15.19366048,NA,5.112330183,NA
McReynolds,MG5,6/28/2016,39.95612204,-120.496686,16.69518236,NA,8.802866025,NA
McReynolds,MSG1,6/28/2016,39.95620804,-120.496047,4.981793759,NA,2.518892033,NA
McReynolds,MSG5,6/28/2016,39.956187,-120.495788,7.09431275,NA,2.776642124,NA
Perazzo,ZG1,9/16/2016,39.47856001,-120.384892,10.107264,NA,2.102254243,NA
Perazzo,ZG3,9/16/2016,39.47876201,-120.384714,10.25476069,NA,2.779450987,NA
Perazzo,ZR1,9/16/2016,39.47834903,-120.383887,5.503397201,NA,0.635976073,NA
Perazzo,ZR5,9/16/2016,39.47819003,-120.383726,12.43136994,NA,1.195399471,NA
Perazzo,ZSG2,9/16/2016,39.47850402,-120.384429,8.005272639,NA,0.647753408,NA
Perazzo,ZSG4,9/16/2016,39.47862798,-120.383954,10.20213845,NA,1.890262218,NA
Upper Clarks,UCG1,8/19/2016,40.13691097,-120.508828,9.736453948,NA,3.496396237,NA
Upper Clarks,UCG5,8/19/2016,40.13672196,-120.508761,8.566544307,NA,3.049983293,NA
Upper Clarks,UCSG2,8/19/2016,40.13715598,-120.508647,10.06810384,NA,4.556706875,NA
Upper Clarks,UCSG4,8/19/2016,40.13715598,-120.508408,10.42832544,NA,0.507897559,NA
Van Norden,NR2,8/14/2017,39.318036,-120.366214,5.375830352,NA,4.917037234,NA
Van Norden,NR4,8/14/2017,39.31784296,-120.366134,7.903479906,NA,3.491979737,NA
Bonita,BO11,10/1/2021,36.04088827,-118.333106,4.754508945,0.294754973,4.926657334,NA
Bonita,BO15,10/1/2021,36.03723108,-118.329915,10.19146695,0.821618856,7.445374456,NA
Bonita,BO17,10/1/2021,36.03738875,-118.330534,11.14675242,1.000899989,5.21817552,NA
Bonita,BO3,10/1/2021,36.04034033,-118.332705,6.044343057,0.362421793,5.26481843,NA
Osa,O15,10/1/2021,36.18121809,-118.308561,10.66634389,0.80492923,1.76076984,NA
Osa,O20,10/1/2021,36.18123009,-118.310256,8.934804662,0.661939234,3.235851859,NA
Osa,O4,10/1/2021,36.18078373,-118.308996,13.35271838,0.986994983,4.186201143,NA
Osa,O7,10/1/2021,36.1814894,-118.307975,16.763582,1.256696731,1.393456926,NA
Partnership,P18,10/1/2021,36.15656984,-118.27711,10.64378909,0.876139146,2.763592398,NA
Partnership,P4,10/1/2021,36.15781701,-118.274205,6.797659662,0.521421205,1.53921602,NA
Partnership,P5,10/1/2021,36.15807465,-118.274111,8.572298569,0.65879884,1.101938741,NA
Partnership,P7,10/1/2021,36.15752373,-118.273888,8.789826592,0.753494566,1.440099836,NA
Clover Valley,D13,6/28/2019,39.95544474,-120.4263173,NA,NA,3.234394268,NA
Clover Valley,D14,6/28/2019,39.95047473,-120.4264405,NA,NA,2.340891029,NA
Deer,DHA-A,9/7/2019,39.42841024,-120.6513898,6.450277825,NA,4.55132767,NA
Deer,DHA-B,9/7/2019,39.42879998,-120.6513985,2.399038017,NA,1.171424371,NA
Deer,DHA-C,9/7/2019,39.42921025,-120.649655,9.116635161,NA,2.19294555,NA
Deer,DHA-D,9/7/2019,39.42824501,-120.6509018,8.143058868,NA,3.173175449,NA
Loney,LHA-A,8/22/2019,39.42042051,-120.6554825,7.522263306,NA,3.975579254,NA
Loney,LHA-B,8/22/2019,39.4204955,-120.6549523,6.881675636,NA,2.882386059,NA
Loney,LHA-C,8/22/2019,39.42084,-120.6560708,7.63515886,NA,2.058847185,NA
Clover Valley,R25,6/28/2019,39.94547401,-120.4271855,NA,NA,2.630951624,NA
Clover Valley,R26,6/28/2019,39.941533,-120.4275425,NA,NA,0.917553489,NA
Sardine,SA1A,10/10/2021,39.51372401,-120.113295,10.97453787,0.889708602,2.594511851,NA
Sardine,SA1B,10/10/2021,39.51379098,-120.113413,9.567847684,0.719846344,1.824903841,NA
Sardine,SA2A,10/10/2021,39.51312496,-120.117378,8.138675402,0.595383932,1.154412015,NA
Sardine,SA2B,10/10/2021,39.51300702,-120.1174,10.61477938,0.7874172,0.606357826,NA
Sardine,SA3A,10/10/2021,39.51268499,-120.11738,8.475493443,0.67340055,1.206885287,NA
Sardine,SA3B,10/10/2021,39.51255499,-120.117293,4.140790012,0.355037144,0.851233101,NA
Sardine,SA4A,10/10/2021,39.51297702,-120.119807,3.517606347,0.266921286,1.422608745,NA
Sardine,SA4B,10/10/2021,39.51315698,-120.119772,9.77394929,0.705290289,1.294340744,NA
Sardine,SA4C,10/10/2021,39.51286001,-120.119931,10.17464436,0.733930578,3.486557498,NA
Sardine,SA5A,10/10/2021,39.51250101,-120.121565,6.596294559,0.516082426,1.148581651,NA
Sardine,SA5B,10/10/2021,39.51236103,-120.121547,4.554798479,0.374338681,0.489750552,NA
Bean,BE2,7/15/2019,37.75339282,-120.141393,6.257232033,0.382084395,2.034796934,NA
Bean,BE20,7/15/2019,37.75377668,-120.143884,6.315393787,0.43553031,1.171903106,NA
Bean,BE24,7/15/2019,37.75351333,-120.143522,5.567145459,0.346916588,1.381796199,NA
Bean,BE4,7/15/2019,37.75376251,-120.141385,6.922441066,0.444743355,1.346814017,NA
Bean,BE6,7/15/2019,37.75338843,-120.140897,4.739816028,0.323721432,2.139743481,NA
Bean,BE8,7/15/2019,37.75263388,-120.142132,6.363660163,0.420222277,1.795752023,NA
Bonita,BO11,7/1/2018,36.04088827,-118.333106,5.706779869,0.582592689,15.70116947,NA
Bonita,BO13,7/1/2018,36.03774023,-118.329693,10.83863202,NA,6.016935348,NA
Bonita,BO16,7/1/2018,36.03728437,-118.330227,9.326803249,0.605762799,10.41302958,NA
Bonita,BO2,7/1/2018,36.04019003,-118.332431,3.351564021,0.606185941,7.410392274,NA
Bonita,BO21,7/1/2018,36.03646599,-118.330256,15.34073151,0.941910732,7.894312463,NA
Bonita,BO6,7/1/2018,36.0402798,-118.332006,8.354329842,0.554704817,14.84993637,NA
Bonita,BO7,7/1/2018,36.04049153,-118.332985,9.983379077,0.585483429,8.763036654,NA
Deer,D11,7/1/2018,39.42049541,-120.655402,17.25406778,1.18871298,9.67508045,NA
Deer,D14,7/1/2018,39.42932558,-120.650599,15.90901963,0.953586099,8.603342993,NA
Deer,D15,7/1/2018,39.42054608,-120.655742,15.38666844,1.157777891,5.576567977,NA
Deer,D16,7/1/2018,39.42928175,-120.65011,18.11323076,1.313694769,1.960926226,NA
Deer,D20,7/1/2018,39.42890242,-120.650167,13.99112051,NA,4.987701242,NA
Deer,D20,7/1/2018,39.42890242,-120.650167,13.99112051,NA,4.987701242,NA
Deer,D21,7/1/2018,39.42116249,-120.656298,20.96007043,1.513347353,5.129029259,NA
Deer,D24,7/1/2018,39.42852742,-120.650225,21.45937666,1.213699493,8.279466288,NA
East Creek,C1,7/1/2018,40.24418042,-120.900972,10.33608643,0.960896948,4.337790599,NA
East Creek,C12,7/1/2018,40.24346585,-120.900515,9.97157474,1.166801731,0.437277278,NA
East Creek,C14,7/1/2018,40.24376207,-120.90226,8.764816771,1.186569948,0.268196731,NA
East Creek,C16,7/1/2018,40.24340594,-120.902429,11.85750587,0.973917848,1.673314384,NA
