Thu Dec 21 11:36:55 2023    profile_results.prof

         565549 function calls (546044 primitive calls) in 24.293 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.001    0.000    0.076    0.002 serializer.py:96(_encode_for_cloud_api)
  408/108    0.001    0.000    0.039    0.000 function.py:50(call)
       60    0.001    0.000    0.002    0.000 discovery.py:1481(_add_nested_resources)
       30    0.001    0.000    0.066    0.002 socket.py:937(getaddrinfo)
      508    0.001    0.000    0.002    0.000 ee_types.py:88(isNumber)
      540    0.001    0.000    0.001    0.000 _policybase.py:281(_sanitize_header)
     4140    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3322    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      210    0.001    0.000    0.005    0.000 structures.py:42(__init__)
 1196/450    0.001    0.000    0.018    0.000 {method 'join' of 'bytes' objects}
       90    0.001    0.000    0.046    0.001 utils.py:730(should_bypass_proxies)
       60    0.001    0.000    0.049    0.001 _collections.py:92(clear)
      390    0.001    0.000    0.001    0.000 _collections.py:215(add)
       20    0.001    0.000    0.003    0.000 base.py:375(__new__)
     1210    0.001    0.000    0.001    0.000 apifunction.py:103(encode_cloud_invocation)
     1450    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      850    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      476    0.001    0.000    0.001    0.000 apifunction.py:143(lookupInternal)
       30    0.001    0.000    0.005    0.000 response.py:581(from_httplib)
       10    0.001    0.000   24.270    2.427 4012620561.py:1(getBandValues)
       30    0.001    0.000    0.001    0.000 response.py:195(__init__)
       30    0.001    0.000    0.001    0.000 socket.py:302(makefile)
     1080    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       60    0.000    0.000    0.035    0.001 discovery.py:1436(_add_basic_methods)
      120    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      480    0.000    0.000    0.001    0.000 feedparser.py:128(__next__)
      373    0.000    0.000    0.002    0.000 response.py:392(_decode)
      570    0.000    0.000    0.001    0.000 discovery.py:1485(createResourceMethod)
       30    0.000    0.000    0.000    0.000 {built-in method today}
       60    0.000    0.000    0.001    0.000 client.py:418(close)
       30    0.000    0.000    0.001    0.000 __init__.py:1772(__init__)
       20    0.000    0.000    0.001    0.000 numerictypes.py:575(_can_coerce_all)
      492    0.000    0.000    0.001    0.000 element.py:22(__init__)
       50    0.000    0.000    0.011    0.000 serializer.py:361(__init__)
       30    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      270    0.000    0.000    0.001    0.000 url.py:303(<listcomp>)
     1650    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
      488    0.000    0.000    0.001    0.000 ee_types.py:102(isString)
      480    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      360    0.000    0.000    0.001    0.000 parse.py:159(hostname)
       30    0.000    0.000    0.008    0.000 adapters.py:255(build_response)
      120    0.000    0.000    0.002    0.000 message.py:564(get_content_type)
       30    0.000    0.000    0.002    0.000 _collections.py:231(extend)
      270    0.000    0.000    0.003    0.000 connection.py:221(putheader)
      150    0.000    0.000    0.001    0.000 enum.py:971(__or__)
       30    0.000    0.000   24.050    0.802 sessions.py:470(request)
       30    0.000    0.000    0.002    0.000 models.py:604(__init__)
      540    0.000    0.000    0.002    0.000 _policybase.py:311(header_fetch_parse)
       10    0.000    0.000    0.000    0.000 geometry.py:860(<listcomp>)
       30    0.000    0.000    0.001    0.000 poolmanager.py:78(_default_key_normalizer)
      120    0.000    0.000    0.001    0.000 cookiejar.py:1258(__init__)
      690    0.000    0.000    0.001    0.000 threading.py:259(__exit__)
       30    0.000    0.000    0.014    0.000 client.py:225(parse_headers)
      690    0.000    0.000    0.001    0.000 threading.py:256(__enter__)
      210    0.000    0.000    0.003    0.000 sessions.py:50(merge_setting)
       90    0.000    0.000    0.043    0.000 utils.py:93(proxy_bypass)
      110    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       30    0.000    0.000    0.018    0.001 sessions.py:430(prepare_request)
     2920    0.000    0.000    0.000    0.000 serializer.py:380(_is_compound)
       70    0.000    0.000   13.955    0.199 socket.py:690(readinto)
       20    0.000    0.000    0.000    0.000 datetimes.py:511(_box_func)
       30    0.000    0.000    2.585    0.086 ssl_.py:355(ssl_wrap_socket)
      600    0.000    0.000    0.001    0.000 generic.py:43(_check)
      570    0.000    0.000    0.001    0.000 utils.py:51(_has_surrogates)
       20    0.000    0.000    0.001    0.000 {pandas._libs.lib.infer_dtype}
       60    0.000    0.000    0.002    0.000 cookiejar.py:1677(extract_cookies)
       60    0.000    0.000    0.003    0.000 ssl.py:1193(sendall)
      360    0.000    0.000    0.001    0.000 parse.py:201(_hostinfo)
       68    0.000    0.000    0.006    0.000 ee_date.py:23(__init__)
     2423    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      210    0.000    0.000    0.001    0.000 utils.py:314(to_key_val_list)
      720    0.000    0.000    0.000    0.000 discovery.py:1386(_set_dynamic_attr)
      270    0.000    0.000    0.001    0.000 url.py:302(_idna_encode)
       20    0.000    0.000    0.000    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
      120    0.000    0.000    0.002    0.000 url.py:274(_normalize_host)
       60    0.000    0.000    0.002    0.000 cookiejar.py:1596(make_cookies)
       20    0.000    0.000    0.003    0.000 series.py:315(__init__)
  210/130    0.000    0.000    0.015    0.000 ee_number.py:70(encode_cloud_value)
       60    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       30    0.000    0.000    0.002    0.000 models.py:444(prepare_headers)
       90    0.000    0.000    0.003    0.000 cookies.py:508(cookiejar_from_dict)
      746    0.000    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
       70    0.000    0.000   13.954    0.199 ssl.py:1230(recv_into)
       90    0.000    0.000    0.004    0.000 utils.py:54(proxy_bypass_registry)
       30    0.000    0.000   24.227    0.808 data.py:1027(computeValue)
      660    0.000    0.000    0.001    0.000 threading.py:271(_is_owned)
       30    0.000    0.000    0.003    0.000 connectionpool.py:168(__init__)
       30    0.000    0.000    0.004    0.000 utils.py:175(get_netrc_auth)
      334    0.000    0.000    0.018    0.000 apifunction.py:218(<lambda>)
     1290    0.000    0.000    0.000    0.000 computedobject.py:192(isVariable)
      120    0.000    0.000    0.006    0.000 schema.py:129(_prettyPrintSchema)
      390    0.000    0.000    0.000    0.000 message.py:479(set_raw)
