Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.001    0.000    0.043    0.001 discovery.py:1436(_add_basic_methods)
       30    0.001    0.000    1.286    0.043 connection.py:38(create_connection)
       50    0.001    0.000    0.013    0.000 serializer.py:361(__init__)
      120    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      540    0.001    0.000    0.002    0.000 _policybase.py:311(header_fetch_parse)
      270    0.001    0.000    0.004    0.000 connection.py:221(putheader)
       10    0.001    0.000   17.205    1.720 4111557168.py:1(getBandValues)
       30    0.001    0.000    0.010    0.000 adapters.py:255(build_response)
     2920    0.001    0.000    0.001    0.000 serializer.py:380(_is_compound)
      480    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       30    0.001    0.000    0.001    0.000 __init__.py:1772(__init__)
      570    0.001    0.000    0.001    0.000 utils.py:51(_has_surrogates)
       30    0.001    0.000    0.002    0.000 models.py:604(__init__)
      360    0.001    0.000    0.001    0.000 parse.py:159(hostname)
      570    0.001    0.000    0.001    0.000 discovery.py:1485(createResourceMethod)
      400    0.001    0.000    0.001    0.000 copy.py:242(_keep_alive)
      110    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      270    0.001    0.000    0.001    0.000 url.py:303(<listcomp>)
       10    0.001    0.000    0.001    0.000 geometry.py:860(<listcomp>)
      210    0.001    0.000    0.004    0.000 sessions.py:50(merge_setting)
       30    0.001    0.000    0.003    0.000 _collections.py:141(__init__)
       30    0.001    0.000    0.019    0.001 client.py:225(parse_headers)
       30    0.000    0.000    0.021    0.001 socket.py:937(getaddrinfo)
      690    0.000    0.000    0.001    0.000 threading.py:256(__enter__)
       60    0.000    0.000    0.002    0.000 cookiejar.py:1596(make_cookies)
      390    0.000    0.000    0.001    0.000 message.py:479(set_raw)
       20    0.000    0.000    0.003    0.000 series.py:315(__init__)
      350    0.000    0.000    0.025    0.000 apifunction.py:218(<lambda>)
       60    0.000    0.000    0.003    0.000 cookiejar.py:1677(extract_cookies)
       60    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       90    0.000    0.000    0.049    0.001 utils.py:93(proxy_bypass)
       20    0.000    0.000    0.001    0.000 datetimes.py:511(_box_func)
       70    0.000    0.000   12.343    0.176 socket.py:690(readinto)
      360    0.000    0.000    0.001    0.000 parse.py:201(_hostinfo)
      690    0.000    0.000    0.001    0.000 threading.py:259(__exit__)
      600    0.000    0.000    0.001    0.000 generic.py:43(_check)
      120    0.000    0.000    0.001    0.000 cookiejar.py:1258(__init__)
       30    0.000    0.000    0.002    0.000 models.py:444(prepare_headers)
       20    0.000    0.000    0.001    0.000 numerictypes.py:575(_can_coerce_all)
       30    0.000    0.000   16.936    0.565 sessions.py:470(request)
      720    0.000    0.000    0.001    0.000 discovery.py:1386(_set_dynamic_attr)
      790    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.002    0.000 message.py:459(<listcomp>)
       30    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      180    0.000    0.000    0.001    0.000 ssl.py:275(_dnsname_match)
       90    0.000    0.000    0.005    0.000 utils.py:54(proxy_bypass_registry)
      120    0.000    0.000    0.008    0.000 schema.py:129(_prettyPrintSchema)
       30    0.000    0.000    0.013    0.000 connection.py:231(request)
       30    0.000    0.000    0.001    0.000 poolmanager.py:78(_default_key_normalizer)
     1290    0.000    0.000    0.000    0.000 computedobject.py:192(isVariable)
       60    0.000    0.000    0.006    0.000 cookies.py:118(extract_cookies_to_jar)
       30    0.000    0.000    0.000    0.000 {built-in method today}
      660    0.000    0.000    0.001    0.000 threading.py:271(_is_owned)
      270    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      390    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
