ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI,Shallow_Clay,Deep_Clay,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Organic_Matter
UL14,Upper Loney,2016-07-03,39.42267443,-120.644653,10.60545343,,3.97630805,11.78772628,0.0254725,0.0545674999999999,0.0323475,0.4376425,0.172735,0.08006,2016-06-20,LANDSAT_8,5131,1833.3255615234373,6103,40,1.5978267433090794,0.0,1660,130,0,278.89862060546875,304.18511962890625,8.020204334081644,13.529407218486744,0.8623481350667034,0.4340060044808335,0.7033032058562471,0.6267513067145021,-0.3861620254490626,-0.5198688971744703,0.7827177491707968,9.614937734375,16.169495703124998,17.1927715625,74.11792109375,49.86152203125,27.265628828125,142.98272992284708,45.40241693779187,96.97912033439458,94.46709784210944,-24.78446048904972,-119.24937281161804,123.7106088772982,6.723210334777832,8.013049125671387,0.7136502265930176,0.7556115984916687,0.33576124906539917
UL16,Upper Loney,2016-07-03,39.42226906,-120.644583,10.23135322,,1.883207478,4.588603062,0.02748,0.0602599999999999,0.03606,0.4736674999999999,0.19721,0.0902075,2016-07-06,LANDSAT_8,5131,1833.1309814453125,6097,34,1.0228813954772114,0.0,1658,137,0,278.89410400390625,304.169677734375,7.860396614669766,13.13553799223516,0.8585126366538982,0.4120834280475943,0.7372454179870646,0.6500875236140443,-0.3647482528670681,-0.531906629898629,0.7755238285874078,8.31568365985577,15.605831063701922,15.01417583533654,70.6128157331731,46.121440078125005,24.47664105168269,144.08933176584316,46.77463437862262,96.56428421020875,93.00215011355984,-25.683771812795484,-111.22976103473496,124.094371962756,4.056569576263428,4.874137878417969,1.0761088132858276,0.9553753137588501,0.3998074233531952
UL3,Upper Loney,2016-07-03,39.42899305,-120.651146,16.06250207,,9.112858477,22.75993015,0.0282499999999999,0.0528899999999999,0.0323199999999999,0.45461,0.1530725,0.06928,2016-06-20,LANDSAT_8,5145,1879.40576171875,6206,2,0.9834635855051396,0.0,1670,134,15,278.97271728515625,304.4504699707031,8.595386651540936,14.06590346534654,0.8672499127184607,0.4962089578028,0.7348493549251561,0.6418236349082509,-0.4451423675930879,-0.4864113612914973,0.8069032839128732,13.365833650297615,19.44093378422619,21.40359698214285,71.21946087996031,45.21772283680557,23.958412174603176,128.66228558243043,44.95332541714299,85.0734230398487,83.80615570096444,-22.328751647321635,-105.80621623568324,114.37078649741828,5.475578308105469,5.8146185874938965,0.8625686764717102,0.9239813685417175,0.39149734377861023
UL7,Upper Loney,2016-07-03,39.42823706,-120.65126,10.28391668,,7.287954636,13.76665624,0.030395,0.0542099999999999,0.0399924999999999,0.36749,0.1640725,0.0834699999999999,2016-07-06,LANDSAT_8,5144,1878.7613525390625,6208,2,0.3096558873587646,0.0,1672,155,0,278.9826354980469,304.44207763671875,6.779007563180228,9.188972932424834,0.8037093617517318,0.3826784244562022,0.5935151406415088,0.5413286206621065,-0.3219868759863777,-0.5033042044140049,0.722827689571288,10.343390052083333,14.994808802083336,15.717828489583331,55.99014619791667,34.97130265625,19.314725364583328,127.18961056749724,44.64564391024216,73.68924801410039,73.39373524889577,-23.5369001403248,-100.07047885996734,111.51023664252682,6.6245951652526855,7.281582832336426,0.9520825743675232,0.9158440828323364,0.35028842091560364
UL8,Upper Loney,2016-07-03,39.42290416,-120.644794,8.827234604,,3.36411986,9.018411293,0.0258849999999999,0.0534399999999999,0.0367474999999999,0.44075,0.1688299999999999,0.0785474999999999,2016-07-06,LANDSAT_8,5131,1834.8062744140625,6102,41,6.9776995234120935,0.0,1659,132,0,278.89520263671875,304.18975830078125,8.247567365269463,11.994013198176752,0.8460829637851508,0.4460776272187408,0.6884383962211102,0.6199542709827903,-0.388355616713465,-0.519143384172403,0.7776137627435145,9.05162171875,15.354599374999998,15.873534687499998,76.6243725,47.2604259375,24.665990234375,152.47027441084617,56.67999091212876,104.97172330689642,101.08859118931784,-35.93833095396015,-117.4413480986596,136.3599593228364,8.068475723266602,9.737786293029785,0.5439739227294922,0.6184653043746948,0.19292142987251282
KP 2,Tahoe Keys,2021-10-18,38.93993899,-120.003419,1.843352681,0.149551431,1.632501839,0.630420667,0.09172,0.11768,0.133685,0.2403575,0.3189525,0.2546025,2021-06-02,LANDSAT_8,8406,1899.9593505859373,3395,104,0.1107515894669335,51.51311111450195,403,76,0,268.328369140625,296.39617919921875,2.042466859279401,1.7979391853985114,0.2851881804875114,-0.1405213566716132,0.1968755709848346,0.1830674709753816,0.1536353962903729,-0.4609654572208894,0.1251475144776009,7.52875578125,10.137601718749998,12.561278125,20.417816718750004,27.839303593750003,22.255863437500004,21.042269615790367,-13.528094389492583,13.642522361780308,13.475067368391429,16.03345032844681,-41.06901111773448,8.545145037582436,6.475610733032227,5.162593364715576,1.173144817352295,1.0555208921432495,0.5845959782600403
KP 3,Tahoe Keys,2021-10-18,38.93986196,-120.003591,1.548009931,0.126082181,0.536393462,0.455245219,0.0660899999999999,0.089575,0.1165525,0.2251775,0.2824325,0.202875,2020-10-05,LANDSAT_8,8404,1899.966064453125,3396,108,0.1678656036533332,51.36001205444336,403,68,0,268.33380126953125,296.38873291015625,2.5138431481998325,1.931983440938633,0.3178679074122846,-0.1127932861842753,0.1900610119906846,0.1935745429056823,0.1560552116797838,-0.5184236876944684,0.1860439454228324,11.42390359375,15.41412265625,19.5424725,30.829869843750004,37.8954603125,29.1671734375,28.41916429200073,-10.674979182001088,18.9222250239628,18.84107611634865,18.20991217050944,-50.522738601171405,17.091449265971175,6.337352275848389,5.064681053161621,1.1771360635757446,1.043224573135376,0.5840864181518555
KP 4,Tahoe Keys,2021-10-18,38.94011501,-120.003263,2.797583351,0.184643538,5.953792509,0.997550087,0.0854225,0.1102549999999999,0.134015,0.251,0.3191449999999999,0.2346375,2021-05-17,LANDSAT_8,8407,1899.892333984375,3396,202,0.0840522063475793,51.92153549194336,403,67,0,268.32501220703125,296.3953552246094,2.2765407464514085,1.872924672611275,0.3038453047283872,-0.1195222268019538,0.2067718510309429,0.1982763004016881,0.147847121738387,-0.4864694923148579,0.1693756815049259,15.07052828125,20.34237453125,26.042088125,42.71060812500001,52.6617340625,39.5556740625,43.20586922575856,-16.229332437853397,28.102631596478314,28.17600625170932,26.510130840115053,-75.80782104966266,25.99335395185993,10.266985893249512,8.756119728088379,1.2974355220794678,0.8175514936447144,0.855451762676239
KP 5,Tahoe Keys,2021-10-18,38.94003798,-120.003439,1.542584482,0.12888333,0.390634369,0.337006825,0.09172,0.11768,0.133685,0.2403575,0.3189525,0.2546025,2021-06-02,LANDSAT_8,8406,1899.892333984375,3395,202,0.0840522063475793,51.92153549194336,403,76,0,268.328369140625,296.39617919921875,2.042466859279401,1.7979391853985114,0.2851881804875114,-0.1405213566716132,0.1968755709848346,0.1830674709753816,0.1536353962903729,-0.4609654572208894,0.1251475144776009,7.52875578125,10.137601718749998,12.561278125,20.417816718750004,27.839303593750003,22.255863437500004,21.042269615790367,-13.528094389492583,13.642522361780308,13.475067368391429,16.03345032844681,-41.06901111773448,8.545145037582436,6.475610733032227,8.756119728088379,1.173144817352295,0.8175514936447144,0.5845959782600403
KP 6,Tahoe Keys,2021-10-18,38.939956,-120.003649,1.446266955,0.127085094,0.40812546,0.345499631,0.2015,0.19534,0.18753,0.24561,0.37508,0.3545375,2021-08-21,LANDSAT_8,8404,1899.966064453125,3396,108,0.1678656036533332,51.36001205444336,403,89,0,268.33380126953125,296.38873291015625,1.257346165659875,1.3097104463285871,0.1340905942651336,-0.208590439671978,0.1689275659073456,0.0933621964549799,0.1143881472091273,-0.315101153535991,-0.030403852329729,6.87553046875,9.279860625000005,11.581993046875,17.995777656250002,24.9001734375,21.113291093750004,16.60702600803214,-12.058088220258275,10.866786386313228,10.786512906937975,14.290252619562931,-34.627615740551875,5.247046550139597,6.337352275848389,5.064681053161621,1.1771360635757446,1.043224573135376,0.5840864181518555
KP Tree 1,Tahoe Keys,2021-10-18,38.94005902,-120.002965,2.900234247,0.181240543,2.757762034,0.595391704,0.0854225,0.1102549999999999,0.134015,0.251,0.3191449999999999,0.2346375,2021-05-17,LANDSAT_8,8405,1899.88623046875,3393,199,0.0672247023731198,52.0800666809082,403,67,0,268.3229064941406,296.4036560058594,2.2765407464514085,1.872924672611275,0.3038453047283872,-0.1195222268019538,0.2067718510309429,0.1982763004016881,0.147847121738387,-0.4864694923148579,0.1693756815049259,15.07052828125,20.34237453125,26.042088125,42.71060812500001,52.6617340625,39.5556740625,43.20586922575856,-16.229332437853397,28.102631596478314,28.17600625170932,26.510130840115053,-75.80782104966266,25.99335395185993,6.660334587097168,5.454497814178467,1.149613380432129,1.0417193174362183,0.5631051659584045
KP Tree 2,Tahoe Keys,2021-10-18,38.94047099,-120.002835,3.425951008,0.258366093,1.142751287,0.809486645,0.1474075,0.155025,0.1134724999999999,0.2139025,0.288785,0.250725,2021-08-21,LANDSAT_8,8409,1899.9161376953125,3395,296,0.0472170626139166,52.51068878173828,403,74,0,268.3164367675781,296.4019775390625,1.379793581680374,1.8850602568904364,0.3067735777014128,-0.148964316797215,0.3181461799808348,0.1820758422722466,0.0536265621572421,-0.3013902345598341,0.1032552871434609,23.236209739583337,31.243680364583334,37.21447463541666,63.7859984375,71.19611348958333,57.600936770833336,70.41260811168037,-11.732764009057432,47.73023594494995,45.31254466412912,28.60112026490623,-100.50577648113074,42.897258126414044,11.411346435546875,9.325080871582031,1.328296422958374,0.6632654666900635,0.9585206508636475
KP Tree 4,Tahoe Keys,2021-10-18,38.93969801,-120.004472,1.277676121,0.124969057,0.186571639,0.24686062,0.1135824999999999,0.1508725,0.186925,0.280535,0.3391375,0.29016,2020-10-21,LANDSAT_8,8400,1899.9296875,3399,17,0.1460334340368124,50.670066833496094,404,92,0,268.3482666015625,296.3746337890625,1.8594177202604845,1.5007890865320317,0.2002524280152312,-0.0945701156659365,0.1509628092209715,0.1451377834742521,0.1433904236127715,-0.3842064447664333,0.0939523486234881,0.6881082812499999,0.91754078125,1.1129643749999998,1.69422671875,2.061845,1.7033945312499998,1.6620067253976738,-0.782653594044058,1.0320060996818707,1.01813989404788,1.1441027509459851,-3.0648066594661323,0.8536548966604107,13.144733428955078,11.421308517456055,1.4002238512039185,0.585608959197998,1.0735232830047607
UTM 1,Uppter Truckee Marsh,2021-10-18,38.938748,-120.001462,3.910807648,0.290483485,0.530563097,1.009188203,0.0940849999999999,0.1165249999999999,0.095515,0.2321625,0.2682975,0.2032875,2021-08-21,LANDSAT_8,8401,1899.0709228515625,3376,2,1.65178630120921,50.32673263549805,403,60,0,268.3127136230469,296.4367980957031,1.992383608667668,2.430639166623043,0.4170182572804052,-0.072203572713104,0.3106712349322261,0.2476462752702591,0.0544372953076545,-0.3943961176906236,0.2378784816956875,15.57713052083333,21.106786979166664,24.349358958333333,48.883119583333325,64.71403312500001,49.979279895833336,91.13679648791272,-34.93318992866188,47.26327974576323,47.08824566972263,44.0001928043944,-135.42352487638354,44.30478243022756,8.896381378173828,6.5085225105285645,1.1873905658721924,0.7013964653015137,0.7462884187698364
UTM 2,Uppter Truckee Marsh,2021-10-18,38.93804904,-120.001171,6.66271906,0.494363707,1.381796199,1.582436341,0.0434025,0.0637249999999999,0.0659525,0.25991,0.2070825,0.1369024999999999,2020-10-05,LANDSAT_8,8399,1899.1658935546875,3371,2,0.1826077479028558,49.05124282836914,403,57,0,268.3125915527344,296.44586181640625,4.078619066300512,3.9408665327318895,0.5952127047450995,0.1131228017580582,0.3645526438207474,0.3522817054897152,-0.0525334108328742,-0.5293704938009474,0.455750173980377,18.021925703125,24.0030528125,27.0321846875,66.963368046875,65.6900071875,43.828233359375005,127.19553229941104,4.467269232926534,75.4176964146553,73.30542791278992,14.88466181569596,-134.2255700785052,92.70944522283348,10.977224349975586,9.154458999633789,1.327257752418518,0.6177719831466675,0.9473425149917603
UTM 3,Uppter Truckee Marsh,2021-10-18,38.93807703,-120.000708,6.522408788,0.483904951,1.877377115,1.450447002,0.0878975,0.10063,0.0927925,0.2163775,0.263155,0.1981725,2021-08-21,LANDSAT_8,8400,1900.60302734375,3365,2,2.230154038855812,49.49859237670898,403,61,0,268.3005676269531,296.4607238769531,2.1502285600715494,2.3318425519303823,0.3997315392825953,-0.0975481328168581,0.2773697399118638,0.2290958636627655,0.078265281780006,-0.4467611363855024,0.2171862747414335,19.08478473958333,24.6117765625,29.00481333333333,59.69440255208333,68.46429635416668,49.3989565625,102.82144041208012,-19.12037531223912,58.05311891458464,57.35854967343497,33.37445178406247,-136.40659770594414,63.02691979967869,10.229476928710938,7.702158451080322,1.0874677896499634,0.5127159953117371,0.7764630317687988
