UniqueID,CalFireID,FireYear,Description,Area_km2,ANPP_mean,ANPP_std,BNPP_mean,BNPP_std,Rh_mean,Rh_std,NEP_mean,NEP_std
SNM5731,10798,1987,entirely_within,0.01606430640177,2.856022062319574,4.039025134969118,398.397447914952,104.0002359190504,453.4518447443086,67.93887075308345,-52.19837476703702,32.022340030997825
SNM11093,10924,1987,touching_perimeter,0.014632644868408,98.04035106362902,16.57926647196827,760.781504875575,96.08261368855955,346.19331682254585,61.82592375907225,512.6285391166582,112.56043419193938
SNM11079,10850,1987,touching_perimeter,0.039837407192888,182.25953042658335,37.45556312465188,931.4792866279082,121.92983049998784,384.3982406266886,51.085383004194284,729.340576427803,121.42268467354272
SNM16767,10798,1987,entirely_within,0.014275461135244,7.953111049140167,5.811042410281968,422.64551390706794,122.05249401111493,387.33395530076876,14.563396315251847,43.26466965543927,125.2313620650587
SNM11115,10850,1987,touching_perimeter,0.027377096335175,193.56283326333647,41.1127053293468,823.2869686129036,183.6129525180209,388.26278766470523,84.32664385844542,628.5870142115348,140.80043481762866
SNM53,10799,1987,entirely_within,0.26576701249149,82.21004436735872,24.64106169149745,422.2121575261417,99.34276602165495,349.3587959260698,42.432542428177335,155.0634059674307,127.04472107463262
SNM12451,10799,1987,entirely_within,0.056692984151503,52.79493912685637,33.84243109109292,322.2771385447624,56.5051920675804,318.55440671019386,53.58050483555163,56.51767096142495,66.16953377137132
SNM11125,10850,1987,touching_perimeter,0.088180107210248,210.60634342724512,36.128794930921515,1081.8127798059063,108.34848299909561,450.7751110610092,49.48935185445398,841.6440121721423,113.881925321383
SNM356,10799,1987,entirely_within,0.11700024926726,53.25836720588443,30.85154545905573,367.29224239601626,57.97285838004687,364.7096815521841,43.04026763481734,55.84092804971657,82.89540799617178
SNM11077,10924,1987,touching_perimeter,0.014267932734529,84.55890167197883,12.950339561023208,833.2955196110314,279.7488604754625,344.4506033007178,21.473765965197487,573.4038179822924,281.430583102483
SNM13026,10798,1987,entirely_within,0.017318437111749,59.8230750333576,36.71086449523091,614.6599112291432,187.27461681388954,411.21935079526526,166.02510767887924,263.2636354672355,140.08463720801026
SNM11981,10839,1987,entirely_within,0.03163306138734,170.85909622659426,30.320981546026562,970.8262411447348,214.19899919753007,259.4941063618789,26.14064748995145,882.1912310094502,213.40511002994694
SNM5719,10798,1987,entirely_within,0.030437863010408,125.72254566679455,115.02941935710638,340.28094253901867,51.22067282169444,348.20668482692963,141.67870870702507,117.79680337888355,224.23859626056208
SNM6739,10798,1987,entirely_within,0.017173911773128,74.25024946918722,3.4787459276892654,850.3168092166593,45.447118316954544,603.049756478186,22.418880748038195,321.51730220766046,26.506983496605677
SNM16794,10802,1987,entirely_within,0.076635529554941,206.20999836175636,74.25973092847354,406.1532526146021,100.37074247049614,385.44318957032453,50.23973030810669,226.9200614060339,156.23568432057212
SNM16793,10802,1987,entirely_within,0.2095585224161,185.35667250100877,56.501960093389805,787.6341208455224,223.0355510997443,788.2098301017554,141.15058857285013,184.78096324477573,210.4776360341113
SNM10065,10881,1987,touching_perimeter,0.073782477087981,81.20230320134374,29.972189369438485,874.4641662685303,197.54326328516657,441.5110358123543,59.48242416231719,514.1554336575198,232.1211126992997
SNM16789,10802,1987,touching_perimeter,2.224436367436778,245.96906458126477,55.35672693781185,808.7834779890076,178.9865404469743,829.7052006797912,158.5971193865181,225.047341890481,202.2578583681583
SNM13464,10799,1987,entirely_within,0.02602261742917,95.32548530140221,0.7915228827106907,353.1636255039042,58.202661974123465,383.07368566970985,28.473510649843956,65.4154251355966,58.200246431056684
SNM5724,10798,1987,entirely_within,0.030779983998289,3.6609267289166794,5.249328754876004,354.1783884336378,101.33332392594227,456.49708033747305,82.07723031198448,-98.65776517491852,154.05785447509243
SNM11989,10839,1987,touching_perimeter,0.010871593704475,155.32259515081125,25.939834934921127,758.4730675853136,83.09291639028208,192.3477415162984,20.530878827015705,721.4479212198264,93.27830821338725
SNM5728,10798,1987,entirely_within,0.082821935027906,94.62730660023398,66.7232774046761,456.8634117699848,234.16342164180853,683.7923032536869,109.13615723713154,-132.30158488346817,175.62356169346324
SNM5709,10798,1987,entirely_within,0.025068771767431,99.13437674797788,87.08253687935866,526.6487998929788,330.1614981482625,591.2851932252589,109.80075799330513,34.497983415697796,273.45163129597586
SNM5703,10798,1987,entirely_within,0.016360324580435,103.61588582924433,40.76665710337804,1240.8953693426479,110.85845076070609,583.3872180563884,92.31329785795046,761.1240371155039,202.81739780785884
SNM5638,10797,1987,entirely_within,0.011737212986372,75.3398564348755,30.841938363790142,683.8292797430306,200.5121735728991,458.8536736669938,93.73677789184909,300.31546251091225,283.0489506918839
SNM5639,10797,1987,entirely_within,0.042716933676328,47.293418120277934,52.95972175427307,446.4257562477077,111.2021840627296,541.8044815749014,71.90313103865454,-48.08530720691577,136.7483537017153
SNM8952,10802,1987,entirely_within,0.02528184668164,95.28462966263723,58.64774107486538,312.7915966852767,118.2934789838945,294.49697858830007,39.11309186721604,113.57924775961382,116.21646201148695
SNM16530,10802,1987,touching_perimeter,5.685125318747226,237.97035849231673,51.951830757236,698.6977428288395,162.0568228816995,800.3291298643893,175.5776534116105,136.33897145676698,175.699336656965
SNM5640,10797,1987,entirely_within,0.007228100436075,64.11402989287778,,237.5463574585073,,129.30839339547845,,172.35199395590666,
SNM5682,10800,1987,touching_perimeter,0.225378275916734,50.83611517520271,48.82811066863054,473.0132999811768,111.46813138027213,426.3192381972416,114.12799083610642,97.53017695913783,144.24394277393
SNM12770,10799,1987,entirely_within,0.264811138533109,87.2612930560265,28.084585174206552,390.75083200274213,91.66684686098425,408.55267878776704,75.04959077940562,69.45944627100162,114.62794021903294
SNM9225,10799,1987,entirely_within,0.045294244723248,113.34347258734415,41.019383062374004,589.5277585815762,174.64686530012912,356.35994867783376,43.408464985375474,346.5112824910867,220.00902705292793
SNM5666,10800,1987,entirely_within,0.008879058864556,62.33260384332616,61.752345794089,370.11272778119684,101.22115796786295,501.29975631424514,140.1913445245065,-68.85442468972215,122.52806738835801
SNM5665,10800,1987,entirely_within,0.104325133989478,103.46160499125844,73.37556012083952,438.62062437938687,203.0503998610699,524.8051744332729,104.52145339565894,17.27705493737239,204.48779008857
SNM5662,10800,1987,entirely_within,0.120996040308425,93.49954502062099,63.25452270373479,526.9017467956585,247.60927308472125,570.2130057238429,166.56671591239996,50.18828609243649,233.1659466671883
SNM5661,10800,1987,entirely_within,0.008519528988318,54.46811311214228,5.6649879010077955,293.1090025646698,53.295748326135296,451.80569093021205,95.1610744952523,-104.22857525339991,96.92218993725521
SNM5658,10800,1987,touching_perimeter,0.160239226206453,107.032056753363,51.753426351044624,315.50324617629013,136.3357845618696,628.3479587680429,137.6542755497388,-205.81265583838982,156.87887419216477
SNM9227,10799,1987,entirely_within,0.036087593453052,137.84051748564852,52.5119506169928,1020.4046821435803,422.5931642222598,447.5357414884884,61.47998241078465,710.7094581407404,448.80175389801866
SNM5647,10797,1987,entirely_within,0.09519338119851,68.53214622360056,67.15391766506205,531.064796749675,254.03147674535052,588.885348689401,127.04141097946102,10.711594283874575,272.34825550139453
SNM8950,10802,1987,entirely_within,0.212109982195645,187.90610639584065,64.54762262888889,896.7315709274396,157.61784436580922,681.5122663790274,119.73597406894984,403.1254109442529,193.4964340380041
SNM5649,10797,1987,entirely_within,0.121549716051063,87.50547813491809,96.77190578999415,393.509364377766,134.6684171594584,553.759889112041,100.15217384493083,-72.74504659935695,153.532020200093
SNM5650,10797,1987,entirely_within,0.024276191100529,5.864749835163544,7.494177432843749,253.03977819098637,74.62124807029254,535.7144681124819,137.43871272926555,-276.80994008633195,204.10769834923406
SNM5652,10797,1987,entirely_within,0.069471831226428,48.2604142817939,72.02465965089927,441.2232258448607,125.7299572080014,494.98320723077126,137.16944697824198,-5.499567104116702,192.6144210903848
SNM11923,10839,1987,touching_perimeter,0.066483509165237,235.40626397646582,57.998932478111236,698.0067987584831,332.45736347965686,305.22104617314295,88.58291056510552,628.192016561806,354.21022754412013
SNM5653,10797,1987,touching_perimeter,0.073316051737022,104.51804646774069,70.35984568035177,380.8987065522347,116.45456102236669,433.6579091537468,164.5805032054598,51.75884386622862,251.33623023472703
SNM5654,10800,1987,entirely_within,0.030699172150404,99.01171291308984,47.926037405554574,523.0314363240631,232.64729018764183,505.334741806606,152.6125603145617,116.70840743054681,162.80699318934896
SNM5655,10800,1987,entirely_within,0.024129481830788,99.65092082803166,2.9179299904881897,358.2183938875985,47.07024012288004,716.9513464263779,79.39890209823706,-259.08203171074786,48.40418616749338
SNM9226,10799,1987,entirely_within,0.0305986555221,89.7921919193747,10.976538073968218,439.50160101169547,119.16880795539147,357.69412674194194,28.556670176637052,171.59966618912827,117.32052442999539
SNM5656,10800,1987,entirely_within,0.054297157725755,97.77015805066799,52.08786308163874,445.9946651966699,222.3560932632558,570.5269005798482,109.69792775948785,-26.762077332510287,197.03728032082472
SNM5643,10825,1987,entirely_within,0.010133012142628,173.26945658093737,107.98314843860716,1011.6555241972382,143.80547314870796,548.1749209763422,50.78489885869047,636.7500598018333,122.56658750204586
SNM5657,10797,1987,entirely_within,0.08972884944711,68.1840921303195,71.69637322880487,699.0511198006022,171.37252385986542,678.6136422870098,103.04217132585106,88.62156964391184,208.52297770464614
SNM5653,10800,1987,touching_perimeter,0.073316051737022,104.51804646774069,70.35984568035177,380.8987065522347,116.45456102236669,433.6579091537468,164.5805032054598,51.75884386622862,251.33623023472703
SNM11902,10839,1987,touching_perimeter,0.023919794542694,329.61052380973786,38.52547435576851,1044.627703862227,211.0649451317948,448.760222017102,52.63759929804978,925.4780056548627,208.60180278277684
SNM16666,10799,1987,entirely_within,0.094707674526378,77.45352312035341,15.030399469568978,483.851477320232,149.33963113001553,377.7123638811928,32.822861072779006,183.59263655939267,156.03064899127537
SNM6689,10800,1987,entirely_within,0.013897983967987,91.72880897655482,4.886833873121095,724.800520774845,66.80834294628706,732.0365845016055,199.5132914494299,84.4927452497944,151.42734699940888
SNM5704,10798,1987,entirely_within,0.018759842364989,38.442757361360094,35.13346808747559,954.6510676598502,246.09402124820423,374.0487352853191,87.92318777113293,619.0450897358912,211.46723578280285
SNM5703,10819,1987,entirely_within,0.016360324580435,103.61588582924433,40.76665710337804,1240.8953693426479,110.85845076070609,583.3872180563884,92.31329785795046,761.1240371155039,202.81739780785884
SNM175,10799,1987,touching_perimeter,4.717863841499634,95.96819316926575,51.080738721505924,405.1857184042332,152.68377625909605,405.88227450439916,86.27771949619591,95.27163706909982,184.13203162026798
SNM11947,10839,1987,entirely_within,0.027328400752117,283.0109772486909,29.556613353719108,772.0077261437373,154.36717674229158,284.1462003936941,41.750758080533224,770.8725029987341,150.01238616928683
SNM11781,10854,1987,entirely_within,0.008209608084472,157.5520378670068,85.00263113003626,855.2326345411014,44.59881584167408,745.5415165413552,55.20527159945662,267.24315586675294,176.27099595937298
SNM5705,10798,1987,touching_perimeter,0.104993842200017,44.9765019550769,27.132588089376153,442.5099876746718,188.19738721847887,302.0557918052073,113.7550307732434,185.43069782454128,223.56807883212534
SNM5705,10819,1987,touching_perimeter,0.104993842200017,44.9765019550769,27.132588089376153,442.5099876746718,188.19738721847887,302.0557918052073,113.7550307732434,185.43069782454128,223.56807883212534
SNM302,10942,1987,entirely_within,0.117763033348811,123.97373016511794,41.970271385624564,1072.0304771038,157.5739435216009,169.33725087607462,34.79917491019613,1026.6669563928433,165.60030098602792
SNM5637,10797,1987,entirely_within,0.016355524260373,48.23187198151031,38.320311028591306,675.83606070429,127.89428934440944,513.3182637249924,87.12398335509562,210.7496689608079,150.20165195849057
SNM5706,10798,1987,touching_perimeter,0.046294003137315,19.08542201753309,29.508046184812613,497.6190854206865,148.65230568004972,411.49143886888334,74.15532961278662,105.21306856933623,156.52095402663963
SNM6688,10797,1987,entirely_within,0.010018128229355,78.3810814628628,,1184.286458277276,,700.3622372083336,,562.3053025318051,
SNM5704,10819,1987,entirely_within,0.018759842364989,38.442757361360094,35.13346808747559,954.6510676598502,246.09402124820423,374.0487352853191,87.92318777113293,619.0450897358912,211.46723578280285
SNM6690,10825,1987,entirely_within,0.010087676711181,67.09664097740884,13.5974088397276,729.2015771140112,165.73058610681414,472.6739602946522,71.23083354683763,323.6242577967678,193.03110712035092
SNM14488,10799,1987,touching_perimeter,0.455620761282862,117.00960368001077,68.59504362947756,464.3485102496777,210.25012350407965,455.491738229774,100.83151071976218,125.86637569991446,204.34202038251127
SNM300,10942,1987,touching_perimeter,0.170312982923453,139.924603103758,36.82334685125862,1150.2633261497604,211.96959421082823,197.1184210203539,77.93730741980731,1093.0695082331642,180.35200451764362
SNM16530,10986,1987,touching_perimeter,5.685125318747226,237.97035849231673,51.951830757236,698.6977428288395,162.0568228816995,800.3291298643893,175.5776534116105,136.33897145676698,175.699336656965
SNM11928,10839,1987,entirely_within,0.033403875242572,320.1525265899801,18.46209044603904,1066.5587159316897,105.46948127254075,344.9142574443348,36.4395506710212,1041.796985077335,89.2583067849646
SNM6470,10908,1987,touching_perimeter,0.035717123636916,74.16227886626976,46.35679793352754,663.6143051274738,202.21409130347817,515.9065884053655,136.03018691749205,221.86999558837815,190.89882678507027
SNM5706,10819,1987,touching_perimeter,0.046294003137315,19.08542201753309,29.508046184812613,497.6190854206865,148.65230568004972,411.49143886888334,74.15532961278662,105.21306856933623,156.52095402663963
SNM11932,10839,1987,entirely_within,0.021305415262698,267.60448094684784,83.74872659804191,994.1929764981393,74.81198528896292,388.52633799141034,23.74744866927969,873.2711194535768,7.478749681125188
SNM9221,10799,1987,entirely_within,0.026642721773114,148.1790359607743,73.41394619832221,580.84500941147,197.8162617972304,329.64254005158625,42.77769081584577,399.38150532065805,243.7590584948261
SNM14949,11023,1987,touching_perimeter,33.689673341218196,174.24655455914115,70.67215892832476,1315.2352525866263,531.4577509016374,353.55786966583884,125.4458442198518,1135.9239374799286,517.9663807872363
SNM11938,10839,1987,touching_perimeter,0.004930613781216,179.16256890462338,,1052.5667497278564,,329.7184648567301,,902.0108537757496,
SNM11934,10839,1987,entirely_within,0.033970892227481,281.16855151253657,24.505135412636665,837.3596710711284,151.4728685095323,240.16965932392313,39.905188621542784,878.3585632597418,145.2272055903104
SNM11851,10560,1988,touching_perimeter,0.012243362504938,58.83408683832168,61.03326356628873,896.4510205102004,103.54077325956384,419.06181370960115,88.00425206078877,536.2232936389208,53.99205248014979
SNM11295,10566,1988,entirely_within,0.016449642112575,151.47330552716406,71.11471644740702,949.0045088287376,93.49871880155571,352.5689322445344,40.17802991420715,747.9088821113673,102.12171648720776
SNM11288,10566,1988,entirely_within,0.054868987699179,131.30905001085938,33.197168918795995,1193.3118807674077,297.10628687932297,377.22353715882616,106.78382043834057,947.3973936194409,244.88159516205602
SNM11287,10566,1988,touching_perimeter,0.015536946305361,46.234306504141834,14.631173049439921,488.2102513721684,237.28447215525776,317.5259722206052,35.1124865395233,216.91858565570502,225.4797378769017
SNM11817,10560,1988,touching_perimeter,0.039029803987902,78.05850629422855,30.664489650437474,746.4558705988655,107.51050981821368,282.9029636498505,53.89498857183994,541.6114132432435,49.57354709440656
SNM11286,10566,1988,entirely_within,0.009129557038789,65.60066657846458,13.711574529407086,953.7495035770598,20.519156485167468,315.16163336965695,11.255395784498075,704.1885367858674,45.48612679907239
SNM11849,10620,1988,entirely_within,0.014618401683935,79.9016931960486,42.4266737603049,448.1909203003464,92.37317284384476,353.59068657147856,27.23074866273654,174.5019269249164,121.61587874359567
SNM11842,10560,1988,touching_perimeter,0.036573343462471,28.167153960074632,30.104276843084197,710.0243054008521,118.6201249909301,257.1194686724758,49.736618977919356,481.07199068845097,127.6232443724654
SNM11810,10560,1988,touching_perimeter,0.090699745827871,44.18528907077486,28.98243022655635,960.8455835948989,170.19572106281277,301.0675098833409,71.01958838884514,703.9633627823329,134.45162721284993
SNM9547,10732,1988,touching_perimeter,0.02591062511128,42.422010092127245,42.76997492337146,781.8705706599444,104.17094827209364,268.42013952150023,45.08756127855984,555.8724412305714,117.81521250756292
SNM11300,10616,1988,touching_perimeter,0.005517420624159,83.82440109105391,,871.4880827614346,,351.0421931334666,,604.2702907190219,
SNM14033,10599,1988,touching_perimeter,0.355286350631026,45.723929829495454,34.99873444576154,680.7927485272154,114.92277211723004,227.11885442005064,60.56662326600254,499.3978239366603,102.15043705943725
SNM16129,10751,1988,touching_perimeter,16.57215552056264,45.50092783603316,38.63346751641522,344.9748128101663,138.48620648042632,563.7852250067554,90.7509560192003,-173.30948436055584,157.9978006818586
SNM14035,10599,1988,entirely_within,0.095435846497826,52.787257022129495,38.40101742810265,789.0764493397031,159.06398239017688,259.09683106249673,81.93628882720799,582.766875299336,141.14583717954147
SNM14037,10599,1988,touching_perimeter,0.060496598458403,101.86652780059524,40.829780750373615,961.0284535337823,220.2956847505126,303.4504217205838,116.41972190545788,759.4445596137938,138.17540443274248
SNM14499,10764,1988,touching_perimeter,15.132732657213541,87.87603824741292,63.62709802798705,727.3449955648017,201.38833829832433,721.0741138497804,139.9453315831199,94.14691996243421,153.9208516190739
SNM16452,10544,1988,entirely_within,0.080778508058364,164.18608722593595,41.21576601321122,685.8598755121267,217.95227283014665,759.5199063167256,175.3250698948267,90.5260564213371,224.31450266785976
SNM14038,10599,1988,touching_perimeter,0.24377749246277,103.89486566739794,51.30480776901883,1104.8976046189853,270.5743696135026,384.106595622516,124.39065730200032,824.6858746638671,209.43369143410257
SNM14039,10560,1988,entirely_within,0.111761753216801,51.920371302314734,27.776695190236108,883.6512567202303,185.94372260289643,360.26494803024235,87.40464486618079,575.3066799923027,170.97375546996017
SNM11321,10616,1988,touching_perimeter,0.030769300524788,121.48849782815333,34.92017083922141,816.0779447801427,232.68909658632288,416.67414760130305,83.5691513166436,520.892295006993,184.85327923994984
SNM11321,10566,1988,touching_perimeter,0.030769300524788,121.48849782815333,34.92017083922141,816.0779447801427,232.68909658632288,416.67414760130305,83.5691513166436,520.892295006993,184.85327923994984
SNM11320,10566,1988,entirely_within,0.05871513546943,86.82816536546474,49.99759600252515,1061.612300385054,336.89950690741404,521.9651249955574,88.15399044859628,626.475340754961,352.8977454624644
SNM11311,10566,1988,entirely_within,0.018564406690191,114.9178979918134,33.32228199224868,985.9458934818894,482.00652782106306,422.7019529470708,117.1305340797406,678.161838526632,400.8736761805017
SNM11300,10566,1988,touching_perimeter,0.005517420624159,83.82440109105391,,871.4880827614346,,351.0421931334666,,604.2702907190219,
SNM14132,10573,1988,entirely_within,0.048090103864642,53.468785259549776,46.291337359739934,937.8177471185455,106.2448922184199,243.77942325138247,24.50976222898004,747.5071091267127,121.47582462153582
SNM16451,10544,1988,touching_perimeter,0.141360872258294,218.71320764597664,56.16739430008448,1015.2751462951352,249.76321552925006,1100.9568338739793,170.87603322870967,133.03152006713256,321.9173992951238
SNM12823,10669,1988,touching_perimeter,0.076938219337096,142.27250183252715,35.946687372024584,986.8947237070897,96.82620171158248,371.906092045648,45.277719433571406,757.2611334939688,113.80440092279976
SNM12822,10620,1988,touching_perimeter,0.258548816923357,84.53858743931116,41.09512584319524,335.5738232931877,126.48331472489853,329.8538636564062,43.15567568372526,90.25854707609268,130.90687057431666
SNM3819,10655,1988,entirely_within,0.007169578331639,0.0,,866.4991825357206,,526.199519324699,,340.29966321102154,
