Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI
Greenville,V34,2021-09-02,40.22765496,-120.910251,0.0,,0.038947499999999996,0.06718999999999997,0.05602499999999999,0.3444725,0.225205,0.12452750000000001,2021-05-25,LANDSAT_7,7794,1545.7989501953125,3207,7,0.3944131838387853,0.0,413,109,0,272.2132263183594,305.5378723144531,5.126841791933326,6.148549754573852,0.7202229726777322,0.20935968157422405,0.5193448402206312,0.4804802345370199,-0.15375009403445422,-0.540416217787582,0.5998217530894817,10.287022499999999,16.1892925,21.3748334375,51.328223593749996,56.5679171875,35.02974875,88.60358811850233,-8.615747051267281,51.17190683461605,52.700179592884254,22.72691679427262,-114.95791786752065,62.32361654646351
Greenville,V35,2021-09-02,40.227963,-120.910343,1.28,,0.03897500000000001,0.06518249999999998,0.04868249999999999,0.3444725,0.20634000000000002,0.10527750000000002,2021-05-25,LANDSAT_7,7794,1545.5775146484375,3205,7,0.4106937299959921,0.0,413,109,0,272.2052917480469,305.5396728515625,5.284739002032756,7.075899964052793,0.7523495822258396,0.250779530239419,0.5501002413976515,0.49676148037014856,-0.2011449245853368,-0.5198740435875482,0.6479698452459092,10.17680984375,15.9102178125,21.4509625,51.293771718749994,55.39857296875,34.15870390625,87.99777278709837,-5.990781947436666,51.07816178600595,52.45472972308542,20.779340512262383,-113.66079799126872,63.8048528334228
Greenville,V37,2021-09-02,40.22849198,-120.910485,0.0,,0.038947499999999996,0.06314750000000002,0.05784,0.3294025,0.21813749999999998,0.11248249999999999,2021-05-25,LANDSAT_7,7787,1545.17138671875,3205,6,0.3556920688684442,0.0,412,110,1,272.1893005371094,305.54144287109375,5.216398115523178,5.695063969571231,0.7012724584724043,0.20320889798005629,0.4904200478749292,0.45911208040642776,-0.14336265330907025,-0.5510069857973229,0.6018203426721894,10.21635171875,15.652634218749998,20.55296578125,48.01575828125,51.93798359375,31.9328009375,81.37206823425282,-0.6562687569774277,47.31877284545371,48.43366633728806,15.680768681761212,-98.75229893944979,62.05529402507295
Greenville,V38,2021-09-02,40.22877696,-120.91058,4.32,,0.0443925,0.07123249999999998,0.0651275,0.33317,0.2346375,0.12691999999999998,2021-05-25,LANDSAT_7,7785,1545.0177001953125,3203,6,0.33512911121342986,0.0,412,110,0,272.18145751953125,305.5430908203125,4.677218966061842,5.115657748263023,0.6729705810355325,0.17353152256706722,0.4817472791435604,0.4475841800739733,-0.11485950297308173,-0.5342302285284599,0.5660672426038729,11.12437234375,16.839652656249996,21.906941875,51.19449515625,54.70737265625,34.2172859375,86.79492692345352,-3.8226101781061104,50.845472007747354,51.62233725198011,19.12078447982571,-108.94133645916187,64.31776121264357
Greenville,V39,2021-09-02,40.22903596,-120.910654,0.0,,0.04983750000000001,0.0773375,0.06696999999999997,0.33693750000000006,0.27938,0.14859,2021-05-25,LANDSAT_7,7783,1544.8719482421875,3202,6,0.32776250319725253,0.0,412,108,0,272.1736145019531,305.5447082519531,4.356715694197511,5.031170673435869,0.6683894208451194,0.09338936505940532,0.49445457384331803,0.4480007633524449,-0.05514066496163696,-0.5663935747475243,0.5321598389160301,11.6450378125,17.411736249999997,21.999581875,51.1887315625,57.279111875000005,35.2875475,84.79842333620316,-10.92952859173464,51.23927835165196,51.36239981349747,23.24193121804806,-111.02530143516324,61.147141972340094
Greenville,V40,2021-09-02,40.22902398,-120.910631,13.44,,0.04983750000000001,0.0773375,0.06696999999999997,0.33693750000000006,0.27938,0.14859,2021-05-25,LANDSAT_7,7783,1544.8719482421875,3202,6,0.32776250319725253,0.0,412,108,0,272.1736145019531,305.5447082519531,4.356715694197511,5.031170673435869,0.6683894208451194,0.09338936505940532,0.49445457384331803,0.4480007633524449,-0.05514066496163696,-0.5663935747475243,0.5321598389160301,11.6450378125,17.411736249999997,21.999581875,51.1887315625,57.279111875000005,35.2875475,84.79842333620316,-10.92952859173464,51.23927835165196,51.36239981349747,23.24193121804806,-111.02530143516324,61.147141972340094
Greenville,V41,2021-09-02,40.22901099,-120.910651,0.0,,0.04983750000000001,0.0773375,0.06696999999999997,0.33693750000000006,0.27938,0.14859,2021-05-25,LANDSAT_7,7783,1544.8719482421875,3202,6,0.32776250319725253,0.0,412,108,0,272.1736145019531,305.5447082519531,4.356715694197511,5.031170673435869,0.6683894208451194,0.09338936505940532,0.49445457384331803,0.4480007633524449,-0.05514066496163696,-0.5663935747475243,0.5321598389160301,11.6450378125,17.411736249999997,21.999581875,51.1887315625,57.279111875000005,35.2875475,84.79842333620316,-10.92952859173464,51.23927835165196,51.36239981349747,23.24193121804806,-111.02530143516324,61.147141972340094
Greenville,V42,2021-09-02,40.22957098,-120.910839,0.0,,0.05005749999999998,0.07876749999999999,0.07038,0.3281375,0.2697275,0.14650000000000002,2021-06-10,LANDSAT_7,7783,1544.7926025390625,3200,7,0.5078532171962916,0.0,412,104,0,272.157958984375,305.54791259765625,4.165899641349542,4.662368570616653,0.6467909188429618,0.09769764077174614,0.4686546865468655,0.43030464069981944,-0.053024317749137725,-0.5479562117103546,0.5191188728602072,11.86486890625,17.5727809375,21.661582343750002,49.192954687500006,59.46003328125,37.627025312499995,83.01380726843635,-20.954236244783942,48.642913915944206,49.24650778364358,30.884861008363437,-115.46274456399752,53.80632830500808
Greenville,V43,2021-09-02,40.22984096,-120.910928,10.72,,0.04832500000000001,0.078795,0.0685925,0.33556250000000004,0.2650525,0.1393775,2021-06-10,LANDSAT_7,7782,1544.6632080078125,3200,8,0.43229573433491736,0.0,412,104,0,272.150390625,305.5470275878906,4.258677581064789,4.892116485038453,0.6605633977063256,0.11739633542285824,0.48200667302192574,0.44290525407701115,-0.0700212185510761,-0.5416863580511709,0.5417513974257778,12.372278288043479,18.282663777173916,22.580654245923913,51.4681247486413,60.75870479619565,38.42792717391305,84.98289419391992,-18.378003783121294,50.646071296124816,51.353711605212936,29.358248660593823,-116.65553212797067,56.98134064108567
Calf,CP1,2022-08-03,38.93844801,-120.292258,197.12,,0.05654749999999997,0.07948250000000001,0.07560499999999998,0.32739500000000005,0.2692875,0.16792249999999997,2022-06-13,LANDSAT_9,4855,2024.1807861328125,5542,46,2.1464735352076714,0.0,1031,159,0,284.22235107421875,300.75677490234375,4.1190828169722895,4.330335295284705,0.6247890818858562,0.09738428728846586,0.46390028879768963,0.41825581395348843,-0.05357865634883071,-0.5442125182785216,0.47601650693150016,10.3566975,14.9562925,16.645225625000002,55.34970187500001,46.278840625,27.805743125,113.57606895883882,17.440195160624732,70.14321140776848,68.83798092811334,-3.023552927748614,-109.3883749249485,90.7448602603815
