ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue_June,Green_June,Red_June,NIR_June,SWIR_1_June,SWIR_2_June,Blue_Sept,Green_Sept,Red_Sept,NIR_Sept,SWIR_1_Sept,SWIR_2_Sept,Elevation,Flow,Slope,MAP_30year,MAT_30_year,NDVI_June,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDVI_Sept,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology
CH05,Childs,2023-07-21,40.340258,-121.486554,14.32546639,1.267876052,2.681967307,7.260146015,0.0255976249999999,0.059114625,0.044921875,0.372526625,0.15992275,0.0763516249999999,0.0584829761904762,0.0856909523809523,0.1173342857142856,0.2495988095238095,0.3515871428571429,0.2325710714285714,1478.6470947265625,16,0.7150156779934888,1212.1666666666667,7.741666666666666,0.78477884098278,0.3992940643417977,0.5648062939473288,0.5356236617096218,-0.3205466036700485,0.7275491870560676,0.360459510264944,-0.1696452369344562,0.2182608541566634,0.2288490159206552,0.2069999710425908,0.1952898886546903,19.0212459564209,20.21712303161621,50.81465148925781,49.47959518432617,0.238187238574028,0.6384188532829285,5
CH07,Childs,2023-07-21,40.340602,-121.4874,9.573636441,0.611380913,7.387070819,4.613378726,0.0328199999999999,0.0669199999999999,0.0547475,0.3432725,0.19026625,0.10155625,0.06135175,0.0873722499999999,0.117648375,0.243532375,0.3342576249999999,0.229774125,1479.440185546875,13,1.1291747257011184,1212.9666666666667,7.742338709677419,0.7249007587558414,0.2867762650791531,0.5059685081623098,0.4819352575666466,-0.2110407840848486,0.6400358467076676,0.3485346325904688,-0.1570211495526055,0.2113162394424974,0.2192640743537288,0.1942703401421892,0.1864693582770253,12.144964218139648,18.165775299072266,56.069522857666016,48.66438674926758,0.595513105392456,0.6766112446784973,5
CH08,Childs,2023-07-21,40.340556,-121.485676,6.817928072,0.285084528,0.974448122,2.389122401,0.0342394999999999,0.0660735,0.058489,0.36221825,0.203118375,0.1057353749999999,0.0633475,0.0883725,0.11330625,0.2571125,0.324085,0.211175,1478.309326171875,18,1.2418697900495652,1210.7666666666667,7.736559139784946,0.7219491701177005,0.2814250270801047,0.5213856536451251,0.4948303328772528,-0.204919497899239,0.6408689231607502,0.3882261629574637,-0.1152319134201368,0.245933004125783,0.2478225279499092,0.1542931412991665,0.2436484385014063,12.58863925933838,12.591473579406738,53.45022964477539,42.90422821044922,0.5335477590560913,0.946166455745697,5
CH09,Childs,2023-07-21,40.340509,-121.485686,9.910978014,0.644729664,0.196288912,4.484190724,0.0342394999999999,0.0660735,0.058489,0.36221825,0.203118375,0.1057353749999999,0.0633475,0.0883725,0.11330625,0.2571125,0.324085,0.211175,1478.473388671875,17,0.9397036617059352,1210.7666666666667,7.736559139784946,0.7219491701177005,0.2814250270801047,0.5213856536451251,0.4948303328772528,-0.204919497899239,0.6408689231607502,0.3882261629574637,-0.1152319134201368,0.245933004125783,0.2478225279499092,0.1542931412991665,0.2436484385014063,12.58863925933838,12.589096069335938,53.45022964477539,42.5,0.5335477590560913,0.926973283290863,5
CH10,Childs,2023-07-21,40.340062,-121.485823,16.23858875,1.228434433,0.956179648,7.171199407,0.026059625,0.0602888749999999,0.0446125,0.382737375,0.1632502499999999,0.07699925,0.0591455952380952,0.0860183333333333,0.1148527380952381,0.2559277380952381,0.3501898809523809,0.2254459523809523,1477.9949951171875,19,0.6357265043908945,1211.6333333333334,7.738978494623655,0.7912132301431,0.4020001826964485,0.5809844763038359,0.546921206518737,-0.3258429790496299,0.7334118478180861,0.3804811986042312,-0.1555179059227071,0.2348975874428237,0.2430147503143047,0.192239737255176,0.2203262858172863,11.4934720993042,11.555964469909668,55.0749397277832,45.612335205078125,0.5783436298370361,0.8929969072341919,5
CH16,Childs,2023-07-26,40.320583,-121.472817,7.328408999,0.541932044,3.761750665,4.900360704,0.0269137499999999,0.0495575,0.03914375,0.28767,0.1515775,0.07596125,0.0332775,0.049525,0.051605,0.2139025,0.1633,0.086395,1463.79150390625,51,1.2284429176473022,1215.5333333333333,7.784408602150538,0.7604522453538138,0.3098310178202493,0.4704515242391817,0.4508746679648227,-0.2451242318995456,0.6773103212133518,0.6112727512405487,0.1341520801161179,0.3184923677417012,0.3180194184903478,-0.0698464568207148,0.5234401568861503,12.363662719726562,12.351990699768066,53.50876998901367,43.35066986083984,0.5532571077346802,0.9475680589675904,5
CH16B,Childs,2023-07-26,40.320326,-121.472511,12.27615207,0.961152888,1.215047797,6.862209032,0.0269687499999999,0.05140125,0.03833625,0.31719625,0.1574775,0.0757062499999999,0.0390587499999999,0.0607662499999999,0.0666224999999999,0.2525624999999999,0.2232624999999999,0.12161125,1463.588623046875,47,0.7384986389292103,1215.5333333333333,7.783602150537636,0.7843446098457946,0.3364811093935572,0.5183471295593649,0.4889235651480218,-0.274735348381765,0.7054694222976633,0.5825461722825321,0.0615772605474701,0.3419631801987244,0.3404725428322052,-0.0029857804623767,0.4710377029766289,11.151922225952148,10.930309295654297,54.08450698852539,46.80034637451172,0.5895800590515137,0.8426943421363831,5
CH21,Childs,2023-07-26,40.320671,-121.473366,4.977617235,0.158072137,1.113599468,2.37814021,0.0269425,0.04676125,0.0379412499999999,0.2485475,0.1385024999999999,0.07132875,0.0319978571428571,0.0451585714285714,0.0448966666666666,0.1850196428571429,0.139517619047619,0.0733316666666666,1463.8240966796875,47,0.5902084914798004,1216.1666666666667,7.775806451612905,0.7351292153705863,0.284317271670327,0.4132366199974297,0.4016705579068996,-0.2191609942829011,0.6504955105638919,0.6094520935930622,0.1402058535357852,0.2884575984610276,0.2879569363545756,-0.0812173212136202,0.5263902234655362,10.825553894042969,10.33724594116211,54.91009140014648,50.69516754150391,0.6751898527145386,0.7473280429840088,5
CH23B,Childs,2023-07-26,40.32096,-121.473246,13.31202486,1.108239492,1.072786923,7.136688898,0.029565,0.0537799999999999,0.0438399999999999,0.32477625,0.17551875,0.08543,0.0346499999999999,0.055425,0.0580674999999999,0.26172375,0.1976224999999999,0.10146375,1464.4027099609375,53,1.1713047199637772,1215.7666666666667,7.778225806451613,0.7621374532457539,0.298338980001799,0.5141289438840919,0.4851444754803979,-0.2352841206205335,0.6787952729256245,0.6368412206400269,0.1395488697251801,0.3770703284475232,0.3726367840593566,-0.0736939348037251,0.5446141706817875,12.194069862365724,12.17823600769043,53.61613845825195,42.77692794799805,0.5238747596740723,0.9149825572967528,5
CH26,Childs,2023-07-28,40.319109,-121.467808,8.32695667,0.615588292,1.13109056,5.841796538,0.0246076249999999,0.0516401249999999,0.0376219999999999,0.3289625,0.1384699999999999,0.0656994999999999,0.0373354761904762,0.0576645238095238,0.0631605952380952,0.2451398809523809,0.2111603571428571,0.1111755952380952,1461.991943359375,102,1.646153061954282,1211.7666666666667,7.8009408602150545,0.7947430947025856,0.4075294293828521,0.5315899679215547,0.5042909837413432,-0.335077999016826,0.7362311466818109,0.5902659897348134,0.0744674689440588,0.3384811290790865,0.337707247010335,-0.0146452205634743,0.4882801000282076,12.149209022521973,12.15493869781494,53.644378662109375,43.01261901855469,0.526111364364624,0.911721646785736,5
CH27,Childs,2023-07-28,40.318895,-121.467799,7.287283121,0.711183009,1.247697834,4.773124259,0.0257946428571428,0.0557080952380952,0.0388230952380952,0.3559452380952381,0.1553942857142857,0.0715271428571428,0.0367029761904761,0.0581791666666666,0.0651942857142857,0.2456584523809524,0.2184164285714285,0.1148042857142856,1461.3155517578125,110,0.3905044471284578,1212.0333333333333,7.802419354838711,0.8033120087911717,0.3922070230105242,0.5681465733042479,0.5316272341843207,-0.3255840535456397,0.739890891405772,0.5805455270314416,0.0587017848361397,0.3313575008139129,0.3338414452862162,0.0022073272157513,0.476840278877648,10.892669677734377,11.923354148864746,54.6091423034668,51.45524215698242,0.6575489640235901,1.315752029418945,5
CH28,Childs,2023-07-28,40.319507,-121.469175,12.55287927,1.059767349,3.230021495,6.916081823,0.0274682142857143,0.0542859523809523,0.0414473809523809,0.3050715476190476,0.1596489285714285,0.0782999999999999,0.03571625,0.0578174999999999,0.0603199999999999,0.2511275,0.20013375,0.10412125,1462.287109375,88,1.4023372361752335,1212.5333333333333,7.803897849462366,0.7607785460768137,0.3129249226109295,0.489010009361763,0.4671322006553731,-0.2463166555234384,0.6820671871695279,0.6126473964311803,0.1130027229238052,0.3546144764554443,0.3527169040510939,-0.0482187475733034,0.5186711540470559,11.00942039489746,10.834017753601074,53.671016693115234,45.91926574707031,0.6253345608711243,0.9147683382034302,5
CH29,Childs,2023-07-28,40.319027,-121.469372,9.135405557,0.696781489,3.824718593,5.12052528,0.0251608333333333,0.0459246428571428,0.0359080952380952,0.2489584523809523,0.1305892857142856,0.0649703571428571,0.0290880952380952,0.0409497619047618,0.0391753571428571,0.1602591666666666,0.1181239285714285,0.0635220238095238,1461.987548828125,93,0.2204412188392953,1213.4,7.803897849462366,0.7478953177323217,0.3118689819117428,0.4175163202783082,0.4071718137099133,-0.2442529139355556,0.6728046669984037,0.6071356513953142,0.1513570285552027,0.2571544584304411,0.2596750776562699,-0.0924514506508105,0.5252097159535584,11.301130294799805,11.829340934753418,53.26102066040039,53.27116394042969,1.217612385749817,1.3631881475448608,5
CH31,Childs,2023-07-28,40.319259,-121.470866,10.6440935,0.75264733,0.435333823,5.268859267,0.0322675,0.0590912499999999,0.0498749999999999,0.3078249999999999,0.1992475,0.1024374999999999,0.03338625,0.0556049999999999,0.05541,0.2424899999999999,0.1939925,0.10091125,1462.7769775390625,60,0.9144617579783694,1214.5666666666666,7.799193548387098,0.7211350293542077,0.2141261851115963,0.4724121037859816,0.4511192724728927,-0.1543918603565761,0.6166111953574782,0.6279959718026182,0.1111098383096687,0.3531002201214088,0.351698207795463,-0.0503994307784199,0.5254754686351668,10.870266914367676,10.689422607421877,54.33401107788086,47.89477157592773,0.6068275570869446,0.8302369117736816,5
CH33,Childs,2023-07-28,40.319371,-121.47003,11.46148124,0.857595923,2.53037785,5.61702218,0.0283180952380952,0.0559516666666666,0.0430646428571428,0.3382430952380952,0.1780267857142857,0.0852863095238095,0.0387112499999999,0.06263,0.07052625,0.27475375,0.24134875,0.12608,1462.39892578125,74,0.4122107794804006,1213.6,7.797983870967743,0.7741213274492386,0.3103344111964326,0.5331036081206363,0.5023984919596621,-0.2475437991589621,0.6917006921997282,0.5914837233549582,0.064725514795995,0.3627288562836044,0.3624139338444065,-0.0025426168164518,0.4862654850453844,10.489328384399414,10.505995750427246,55.25991821289063,48.11790466308594,0.7176100611686707,0.8150700330734253,5
CH35,Childs,2023-07-28,40.3193,-121.470842,8.794475392,0.526282222,3.739595283,3.374822106,0.0322675,0.0590912499999999,0.0498749999999999,0.3078249999999999,0.1992475,0.1024374999999999,0.03338625,0.0556049999999999,0.05541,0.2424899999999999,0.1939925,0.10091125,1462.7769775390625,60,0.9144617579783694,1214.5666666666666,7.799193548387098,0.7211350293542077,0.2141261851115963,0.4724121037859816,0.4511192724728927,-0.1543918603565761,0.6166111953574782,0.6279959718026182,0.1111098383096687,0.3531002201214088,0.351698207795463,-0.0503994307784199,0.5254754686351668,10.870266914367676,10.689422607421877,54.33401107788086,47.89477157592773,0.6068275570869446,0.8302369117736816,5
CH37,Childs,2023-07-24,40.34434,-121.480531,17.66213894,1.10353845,1.066956559,6.630807122,0.033508,0.0632767499999999,0.0544396249999999,0.27711125,0.192326,0.110635875,0.04464875,0.05979125,0.0738149999999999,0.1798624999999999,0.22983375,0.1609924999999999,1494.5050048828125,7,4.312369137053588,1203.3666666666666,7.6907258064516135,0.6716062052317009,0.1806104010706437,0.4116112168460094,0.4016680729245821,-0.1145593069779656,0.5555934006166126,0.4180406224438511,-0.1219714605637714,0.2058556191125095,0.21106010196669,0.149836223871554,0.2317847550093208,20.225095748901367,24.59845542907715,43.57819366455078,38.41437911987305,0.0944686979055404,0.0484537631273269,7
