Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter
Coyote,CYB2,2019-10-25,40.11064896,-120.418607,48.33333333,148.0021477,-0.16416514290278775,0.18622852359728365,0.18211163662579138,0.16856041117229764,0.14189391393408515,-0.22031261711685654,0.14083366112414478,0.1432462802277157,0.22085198491574828,0.08604670999074597,12.469325982142857,16.62663082142857,19.499753625000004,37.39477598214286,52.060105625000006,38.479356535714295,69.79454267959466,-35.03385097693589,34.99331832049454,35.308040634361944,39.441479311083086,32.34867792995048,-112.54759560465818,701.2,1700.73876953125,368.40000000000003,924,0.4096976858677268,0,879,102,0,275.87347412109375,286.7368469238281,29843.0185546875,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYB3,2019-10-25,40.11064502,-120.418742,,104.1338811,-0.16416514290278775,0.18622852359728365,0.18211163662579138,0.16856041117229764,0.14189391393408515,-0.22031261711685654,0.14083366112414478,0.1432462802277157,0.22085198491574828,0.08604670999074597,12.469325982142857,16.62663082142857,19.499753625000004,37.39477598214286,52.060105625000006,38.479356535714295,69.79454267959466,-35.03385097693589,34.99331832049454,35.308040634361944,39.441479311083086,32.34867792995048,-112.54759560465818,701.2,1700.43994140625,368.40000000000003,927,0.5562762651757244,0,879,102,0,275.87347412109375,286.7368469238281,29843.0185546875,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYB4,2019-10-25,40.11064804,-120.418839,,459.5987284,-0.1691128632198734,0.184330020806466,0.18038032859669276,0.17301210681870194,0.13514772757840865,-0.22221376761711326,0.13781046211501743,0.1401290501854185,0.22256527867088627,0.08015267219528426,12.525432589285714,16.671753928571427,19.554004374999998,36.962490446428575,52.633218125,39.0596925,67.69858797599075,-37.55693508142804,34.04351889542004,34.32688927773815,41.0612495992372,29.587233455721698,-112.63113876210952,700.8000000000001,1700.43994140625,368.5,927,0.5562762651757244,0,879,108,0,275.8739318847656,286.7330627441406,29843.19467163086,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYD1,2019-10-25,40.11113302,-120.419001,,102.9416129,-0.12714757892180026,0.19870027383819627,0.19488298467883208,0.14537768674453586,0.17869763325473567,-0.20567444484811626,0.14417501540780894,0.1473763365342172,0.21907369656765086,0.09556255393254434,12.787746904761905,17.49543867559524,20.627435610119047,39.10749224702381,52.54959946428571,38.271018936011906,68.40875759912956,-32.07175162156379,35.51215551109982,35.79524036455152,37.74952760635668,34.3373928838651,-109.35755462612732,701.2,1700.52294921875,368.40000000000003,862,0.5967566113635995,0,879,107,0,275.8742980957031,286.73236083984375,29843.557830810547,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYD2,2019-10-25,40.11115498,-120.418866,,230.7247641,-0.11998002060799323,0.20971822518214123,0.20503191269724194,0.13796303025262208,0.19555142038831122,-0.20646270093497704,0.15062350416046816,0.15351400417417654,0.21801829220948435,0.10463725131021433,12.744941971726188,17.45383809523809,20.48756942708333,40.05169644345238,53.37320535714287,38.428200632440465,72.66710074753836,-31.886370888711955,37.7398091869416,37.97986898698423,37.78555340201559,37.38513879235907,-112.95654641728157,701.2,1700.52294921875,368.40000000000003,862,0.5967566113635995,0,879,106,0,275.8742980957031,286.73236083984375,29843.557830810547,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYD3,2019-10-25,40.11116202,-120.418762,23.77777778,172.3972748,-0.10231119283518932,0.22324819315367236,0.21844679862877675,0.12450565116986895,0.21898314140360436,-0.20106850465928205,0.15438186809886942,0.15744496507653036,0.21389392144710204,0.11658905337875378,12.508885111607142,17.20800514880952,20.161856510416662,40.56317879464285,52.895825848214294,37.73992133184524,75.13437947530036,-29.40414407585655,39.272105771555765,39.51218346243314,35.66355647282076,40.55556831159913,-112.95874280071143,701.2,1700.52294921875,368.5,862,0.5967566113635995,0,879,101,0,275.873779296875,286.736328125,29843.380645751953,18.130098342895508,22.593658447265625,42.15665054321289,37.5745849609375,2.88437970169261,1.378114244463033,19,0.8356199022506899
Coyote,CYD4,2019-10-25,40.11117401,-120.418647,14.11111111,165.957912,-0.10231119283518932,0.22324819315367236,0.21844679862877675,0.12450565116986895,0.21898314140360436,-0.20106850465928205,0.15438186809886942,0.15744496507653036,0.21389392144710204,0.11658905337875378,12.508885111607142,17.20800514880952,20.161856510416662,40.56317879464285,52.895825848214294,37.73992133184524,75.13437947530036,-29.40414407585655,39.272105771555765,39.51218346243314,35.66355647282076,40.55556831159913,-112.95874280071143,701.2,1701.1094970703125,368.5,794,1.3263568508011583,0,879,101,0,275.873779296875,286.736328125,29843.380645751953,18.130098342895508,24.812990188598633,42.15665054321289,38.857505798339844,2.88437970169261,1.3508639080350224,19,0.8356199022506899
Coyote,CYE1,2019-10-25,40.111259,-120.418994,,301.8506216,-0.12714757892180026,0.19870027383819627,0.19488298467883208,0.14537768674453586,0.17869763325473567,-0.20567444484811626,0.14417501540780894,0.1473763365342172,0.21907369656765086,0.09556255393254434,12.787746904761905,17.49543867559524,20.627435610119047,39.10749224702381,52.54959946428571,38.271018936011906,68.40875759912956,-32.07175162156379,35.51215551109982,35.79524036455152,37.74952760635668,34.3373928838651,-109.35755462612732,701.2,1700.6156005859375,368.40000000000003,797,0.8849605682967178,0,879,107,0,275.8742980957031,286.73236083984375,29843.557830810547,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYE2,2019-10-25,40.11126998,-120.418896,,234.0433843,-0.11998002060799323,0.20971822518214123,0.20503191269724194,0.13796303025262208,0.19555142038831122,-0.20646270093497704,0.15062350416046816,0.15351400417417654,0.21801829220948435,0.10463725131021433,12.744941971726188,17.45383809523809,20.48756942708333,40.05169644345238,53.37320535714287,38.428200632440465,72.66710074753836,-31.886370888711955,37.7398091869416,37.97986898698423,37.78555340201559,37.38513879235907,-112.95654641728157,701.2,1700.6156005859375,368.40000000000003,797,0.8849605682967178,0,879,106,0,275.8742980957031,286.73236083984375,29843.557830810547,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181637
Coyote,CYE3,2019-10-25,40.11128004,-120.41876,31.11111111,117.5747257,-0.10231119283518932,0.22324819315367236,0.21844679862877675,0.12450565116986895,0.21898314140360436,-0.20106850465928205,0.15438186809886942,0.15744496507653036,0.21389392144710204,0.11658905337875378,12.508885111607142,17.20800514880952,20.161856510416662,40.56317879464285,52.895825848214294,37.73992133184524,75.13437947530036,-29.40414407585655,39.272105771555765,39.51218346243314,35.66355647282076,40.55556831159913,-112.95874280071143,701.2,1701.1094970703125,368.5,794,1.3263568508011583,0,879,101,0,275.873779296875,286.736328125,29843.380645751953,18.130098342895508,24.812990188598633,42.15665054321289,38.857505798339844,2.88437970169261,1.3508639080350224,19,0.8356199022506899
