Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,BSI_June,Blue_June,EVI_June,Green_June,NDGI_June,NDPI_June,NDVI_June,NDWI_June,NIR_June,Red_June,SAVI_June,SWIR_1_June,SWIR_2_June,BSI_Sept,Blue_Sept,EVI_Sept,Green_Sept,NDGI_Sept,NDPI_Sept,NDVI_Sept,NDWI_Sept,NIR_Sept,Red_Sept,SAVI_Sept,SWIR_1_Sept,SWIR_2_Sept,dBSI,dBlue,dEVI,dGreen,dNDGI,dNDPI,dNDVI,dNDWI,dNIR,dRed,dSAVI,dSWIR_1,dSWIR_2,AET,Annual_Precipitation,SWE,Wet_days,Minimum_temperature,Maximum_temperature,SRad,Active_growth_days,Elevation,Slope,Shallow_Clay,Shallow_Sand,Shallow_Hydra_Conduc,Deep_Clay,Deep_Sand,Deep_Hydra_Conduc,Organic_Matter,Lithology
Osa,O4,2018-07-01,36.18078373,-118.308996,11.76361398,0.74621823,1.690805476,8.711091241,0.503443501,0.14527887083853128,0.044153088235294125,0.2611416771860741,0.06902441176470586,0.1960761806146403,0.2543893668610167,0.47600862011894673,-0.11278968937459169,0.21967588235294117,0.0779861764705882,0.26644686991505695,0.27553,0.1975076470588235,0.039190057610829866,0.028178076923076917,0.2750874996397545,0.04767557692307692,0.26608556201379,0.40856680051997224,0.5678903003983627,0.02153512133572556,0.20068980769230765,0.05530999999999997,0.2884520727645688,0.19222826923076924,0.12111961538461541,3.9359899996881182,5.681855473214285,49.83359983873281,9.427187391741072,41.74329344107269,61.9203200600914,85.01341318469447,4.915396831357938,38.01399678348214,10.600311364955356,49.962400391128405,35.771208625,22.38542406361607,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,34588.25634155273,103,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Osa,O6,2018-07-01,36.18052454,-118.30958,14.19492354,1.051521728,1.498403473,6.393363797,0.43100499,0.20144536974814978,0.050463125,0.24547781687971562,0.07691468750000002,0.1658265127992248,0.1885763118420973,0.43457302609713544,-0.18469445958595823,0.22155265624999998,0.08732343749999999,0.24891801065792102,0.32193109375,0.2326128125,0.039190057610829866,0.028178076923076917,0.2750874996397545,0.04767557692307692,0.26608556201379,0.40856680051997224,0.5678903003983627,0.02153512133572556,0.20068980769230765,0.05530999999999997,0.2884520727645688,0.19222826923076924,0.12111961538461541,3.9359899996881182,5.681855473214285,49.83359983873281,9.427187391741072,41.74329344107269,61.9203200600914,85.01341318469447,4.915396831357938,38.01399678348214,10.600311364955356,49.962400391128405,35.771208625,22.38542406361607,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,33159.78075561523,103,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Partnership,P10,2018-07-01,36.15833266,-118.274809,8.524418571,0.867981209,1.615010747,3.510321113,0.337330639,-0.045174096640577574,0.031015468749999997,0.33122735596281433,0.05541312500000001,0.3308190213189406,0.4794927526220881,0.6136536466772078,0.1135050222317608,0.23225531249999998,0.05560734374999998,0.3363174419082006,0.18490546875000002,0.11493343750000001,0.039190057610829866,0.028178076923076917,0.2750874996397545,0.04767557692307692,0.26608556201379,0.40856680051997224,0.5678903003983627,0.02153512133572556,0.20068980769230765,0.05530999999999997,0.2884520727645688,0.19222826923076924,0.12111961538461541,3.9359899996881182,5.681855473214285,49.83359983873281,9.427187391741072,41.74329344107269,61.9203200600914,85.01341318469447,4.915396831357938,38.01399678348214,10.600311364955356,49.962400391128405,35.771208625,22.38542406361607,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,33159.78075561523,103,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Partnership,P13,2018-07-01,36.15887679,-118.274212,8.544606226,0.842171005,6.104390803,3.196128236,0.317810156,0.015196859914524595,0.037902500000000006,0.3718467831581412,0.06722609375,0.3162851674940714,0.42692434138387814,0.6023355180203022,0.04018139596123665,0.278974375,0.06923531249999998,0.3709089844013365,0.25742125,0.16652,0.042239938504184275,0.026544999999999985,0.25800023003149647,0.04666124999999999,0.24394663567042196,0.4196816580725961,0.549967388734147,0.027237648841228066,0.19372142857142854,0.056246964285714296,0.2749605161931824,0.18344821428571428,0.1083830357142857,3.236068070154306,4.997206234375,47.8621256007289,8.578533153645832,42.91855247801213,64.94291739163712,86.84900398750119,6.112687875348291,36.2855865546875,9.907315708333332,49.02329137394374,33.94922448177083,20.519749901041667,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,34588.25634155273,98,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Partnership,P18,2018-07-01,36.15656984,-118.27711,10.18296593,0.857638713,5.684604616,5.547266037,0.435921905,0.029783543729822778,0.03596546875000001,0.3437737825667036,0.06297906250000002,0.3056514307992967,0.4228998274776438,0.591797353978851,0.02306411282068031,0.25456296875,0.06528046874999999,0.3463145974136068,0.24308515625,0.15156515625,0.042239938504184275,0.026544999999999985,0.25800023003149647,0.04666124999999999,0.24394663567042196,0.4196816580725961,0.549967388734147,0.027237648841228066,0.19372142857142854,0.056246964285714296,0.2749605161931824,0.18344821428571428,0.1083830357142857,3.236068070154306,4.997206234375,47.8621256007289,8.578533153645832,42.91855247801213,64.94291739163712,86.84900398750119,6.112687875348291,36.2855865546875,9.907315708333332,49.02329137394374,33.94922448177083,20.519749901041667,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,33159.78075561523,98,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Partnership,P2,2018-07-01,36.15754705,-118.274217,9.405279009,0.905099396,3.836379321,3.352375754,0.317394865,-0.04388034903958789,0.03678015625,0.41082321895522195,0.06440390624999998,0.3625330395751002,0.4972961997562023,0.6439122312037947,0.10246883144326262,0.2934703125,0.06356859375000001,0.40237680647884816,0.23891718750000002,0.14302640625000002,0.042239938504184275,0.026544999999999985,0.25800023003149647,0.04666124999999999,0.24394663567042196,0.4196816580725961,0.549967388734147,0.027237648841228066,0.19372142857142854,0.056246964285714296,0.2749605161931824,0.18344821428571428,0.1083830357142857,3.236068070154306,4.997206234375,47.8621256007289,8.578533153645832,42.91855247801213,64.94291739163712,86.84900398750119,6.112687875348291,36.2855865546875,9.907315708333332,49.02329137394374,33.94922448177083,20.519749901041667,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,33159.78075561523,98,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Partnership,P22,2018-07-01,36.15694296,-118.277125,,,2.454583121,,,0.024061320007607356,0.03100733333333333,0.33385000279161015,0.05832399999999999,0.3126818735999073,0.4263485879395192,0.6012370613481443,0.03469104333304032,0.2452433333333333,0.06107400000000002,0.342612007183276,0.22879833333333333,0.146434,0.042239938504184275,0.026544999999999985,0.25800023003149647,0.04666124999999999,0.24394663567042196,0.4196816580725961,0.549967388734147,0.027237648841228066,0.19372142857142854,0.056246964285714296,0.2749605161931824,0.18344821428571428,0.1083830357142857,3.236068070154306,4.997206234375,47.8621256007289,8.578533153645832,42.91855247801213,64.94291739163712,86.84900398750119,6.112687875348291,36.2855865546875,9.907315708333332,49.02329137394374,33.94922448177083,20.519749901041667,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,33159.78075561523,98,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Partnership,P8,2018-07-01,36.15725521,-118.273898,9.498468955,0.772901158,7.981767918,4.327143671,0.355209806,-0.028557437901255683,0.03130800000000003,0.31790756193048986,0.055425500000000016,0.3104958921648864,0.4634493595975146,0.5969557138886045,0.09762305652068626,0.22740316666666666,0.05739266666666665,0.3249453414104518,0.18695250000000002,0.11644066666666664,0.042239938504184275,0.026544999999999985,0.25800023003149647,0.04666124999999999,0.24394663567042196,0.4196816580725961,0.549967388734147,0.027237648841228066,0.19372142857142854,0.056246964285714296,0.2749605161931824,0.18344821428571428,0.1083830357142857,3.236068070154306,4.997206234375,47.8621256007289,8.578533153645832,42.91855247801213,64.94291739163712,86.84900398750119,6.112687875348291,36.2855865546875,9.907315708333332,49.02329137394374,33.94922448177083,20.519749901041667,347.6,524.4,35.6,0,-0.38727416992185226,14.273553466796898,33159.78075561523,98,2657.9677734375,7.339862178267422,15.787250518798828,48.80426025390625,0.6490331292152405,17.974096298217773,52.02729034423828,0.9979209899902344,0.11220301687717438,5
Smith,S12,2019-07-15,37.76212504,-120.12188,7.419025687,0.501455946,2.810235308,2.321123003,0.157132253,-0.13646523208286776,0.030233235294117644,0.41952371131064314,0.05962588235294114,0.36622063770745245,0.5894620369679107,0.6582140931459783,0.22863350475329067,0.31002470588235304,0.0639013235294118,0.42244430432848923,0.1946411764705882,0.10066073529411762,0.07863101542068306,0.05014183333333333,0.2604311803457237,0.08055316666666662,0.1363825572644859,0.34722143310698844,0.4303639880813945,0.001496205844206696,0.26138399999999995,0.104095,0.2726045345987597,0.26060300000000003,0.15535683333333333,23.116995014453305,12.607324201116072,71.07277223610058,20.886312811309523,45.276356020198826,90.33914142833426,120.41004767489737,-4.9769561568295355,68.61677325282737,26.681087311607143,73.66733308010774,71.60698445885417,44.15452830446428,778.08,1211.2,0,0,6.405816650390648,22.315087890625023,33772.3453918457,137,961.5519409179688,2.188627412623965,13.833333015441895,37.16666793823242,0.22279635071754456,18.02177619934082,32.484901428222656,0.010463176295161247,-0.06499999016523361,1
Smith,S16,2019-07-15,37.76193701,-120.120841,10.13654779,0.685658314,1.545046382,3.239578669,0.219105737,-0.17066012874097974,0.03064249999999999,0.4739938806546415,0.060192058823529404,0.4181784573073916,0.6195329179580275,0.6977689773634332,0.25444733029843464,0.33968911764705884,0.06047029411764704,0.46528229313631386,0.20188661764705884,0.1044039705882353,0.07863101542068306,0.05014183333333333,0.2604311803457237,0.08055316666666662,0.1363825572644859,0.34722143310698844,0.4303639880813945,0.001496205844206696,0.26138399999999995,0.104095,0.2726045345987597,0.26060300000000003,0.15535683333333333,-14.106110833974771,10.307408466678718,83.02673726725808,16.436576977558122,69.68119757425794,110.04705769238117,128.98201971550426,32.06918088855688,66.32478852164923,18.668936937412184,81.85508013049827,50.221660913941506,28.04515525738237,778.08,1211.2,0,0,6.405816650390648,22.315087890625023,33772.3453918457,138,961.5519409179688,0.9494007246506057,13.833333015441895,37.16666793823242,0.22279635071754456,17.5,32.5,-0.000734187662601471,-0.06499999016523361,1
Smith,S18,2019-07-15,37.76014601,-120.119534,7.866298306,0.536982204,2.1688953,2.45266626,0.167976326,0.04988312492573812,0.04437769230769231,0.2813439858901884,0.07984000000000002,0.1448798282396247,0.382940273855162,0.4547100985072824,0.05282299516921743,0.2893159615384615,0.1084484615384615,0.3021964816451121,0.260284423076923,0.15536346153846153,0.07863101542068306,0.05014183333333333,0.2604311803457237,0.08055316666666662,0.1363825572644859,0.34722143310698844,0.4303639880813945,0.001496205844206696,0.26138399999999995,0.104095,0.2726045345987597,0.26060300000000003,0.15535683333333333,23.116995014453305,12.607324201116072,71.07277223610058,20.886312811309523,45.276356020198826,90.33914142833426,120.41004767489737,-4.9769561568295355,68.61677325282737,26.681087311607143,73.66733308010774,71.60698445885417,44.15452830446428,778.08,1211.2,0,0,6.405816650390648,22.315087890625023,33772.3453918457,137,961.5519409179688,2.188627412623965,13.833333015441895,37.16666793823242,0.22279635071754456,18.02177619934082,32.484901428222656,0.010463176295161247,-0.06499999016523361,1
Smith,S2,2019-07-15,37.76116716,-120.120232,,,2.017305844,,,-0.08748135746799895,0.032776176470588225,0.39367152687765294,0.05959676470588238,0.32968967543000577,0.5494157376969281,0.6299066176827592,0.17309063207626274,0.2962067647058823,0.06725794117647055,0.39772700951706197,0.20879558823529415,0.11017088235294115,0.07863101542068306,0.05014183333333333,0.2604311803457237,0.08055316666666662,0.1363825572644859,0.34722143310698844,0.4303639880813945,0.001496205844206696,0.26138399999999995,0.104095,0.2726045345987597,0.26060300000000003,0.15535683333333333,23.92200044187163,14.053004869866072,82.28209548841548,23.217560943452376,55.025108064644066,104.95031461809617,139.75291368288325,-3.935714312357571,77.22977391919643,29.17273519464286,84.85166066256595,79.58722664813988,48.94372480297619,778.08,1211.2,0,0,6.405816650390648,22.315087890625023,33772.3453918457,167,961.5519409179688,0.9494007246506057,13.833333015441895,37.16666793823242,0.22279635071754456,17.5,32.5,-0.000734187662601471,-0.06499999016523361,1
Smith,S22,2019-07-15,37.76050971,-120.119759,6.996911233,,0.787099101,1.917190218,0.116100449,-0.04828550023499045,0.03511583333333332,0.3620347672854275,0.06682150000000003,0.26570180036938396,0.4964890721758858,0.5759337398908185,0.1467401698256236,0.3028026666666667,0.08148083333333334,0.37542569775417056,0.22530766666666668,0.12784583333333333,0.07863101542068306,0.05014183333333333,0.2604311803457237,0.08055316666666662,0.1363825572644859,0.34722143310698844,0.4303639880813945,0.001496205844206696,0.26138399999999995,0.104095,0.2726045345987597,0.26060300000000003,0.15535683333333333,-14.106110833974771,10.307408466678718,83.02673726725808,16.436576977558122,69.68119757425794,110.04705769238117,128.98201971550426,32.06918088855688,66.32478852164923,18.668936937412184,81.85508013049827,50.221660913941506,28.04515525738237,778.08,1211.2,0,0,6.405816650390648,22.315087890625023,33772.3453918457,138,962.23193359375,0.9494007246506057,13.833333015441895,37.16666793823242,0.22279635071754456,17.5,32.5,-0.000734187662601471,-0.06499999016523361,1
Smith,S4,2019-07-15,37.76149567,-120.12077,6.426668791,0.410425516,3.00263731,2.029780429,0.129707243,-0.1435328962568918,0.034822500000000006,0.4416628794298526,0.059981944444444435,0.3883917177246417,0.5918297492806782,0.6723738480839714,0.22179378836701566,0.31094388888888885,0.060915416666666666,0.43016425464926733,0.19805180555555557,0.1036779166666667,,,,,,,,,,,,,,-39.505689850519516,9.825937645833333,103.56087178705675,16.214663588221885,88.15097792611134,136.53598739986927,150.63570923624476,61.390147515399136,77.43029862110562,17.181867814285717,100.01004855565861,45.37697030467009,24.327881695554716,778.08,1211.2,0,3,6.405816650390648,22.315087890625023,33772.3453918457,153,961.5519409179688,0.9494007246506057,13.833333015441895,37.16666793823242,0.22279635071754456,17.5,32.5,-0.000734187662601471,-0.06499999016523361,1
Smith,S8,2019-07-15,37.76122651,-120.119777,7.23995932,0.500441746,2.821896035,2.193944325,0.15185831,-0.007496107451042246,0.036089117647058855,0.3344301561762822,0.06424911764705882,0.25057738888061387,0.46506938701020695,0.5583175256768362,0.09220783246871987,0.2745982352941177,0.07783088235294117,0.34624700552987164,0.22823323529411765,0.1288110294117647,,,,,,,,,,,,,,-14.106110833974771,10.307408466678718,83.02673726725808,16.436576977558122,69.68119757425794,110.04705769238117,128.98201971550426,32.06918088855688,66.32478852164923,18.668936937412184,81.85508013049827,50.221660913941506,28.04515525738237,778.08,1211.2,0,0,6.405816650390648,22.315087890625023,32841.204833984375,138,962.23193359375,0.9494007246506057,13.833333015441895,37.16666793823242,0.22279635071754456,17.5,32.5,-0.000734187662601471,-0.06499999016523361,1
Upper Loney,UL10,2018-07-01,39.42324197,-120.643852,15.03219375,1.07659142,11.18846796,13.38906526,0.94132515,-0.3734442817075859,0.019646544117647075,0.6545739008707946,0.04912897058823529,0.6613131560712286,0.7776030859089155,0.8517843487747976,0.4310991930866758,0.41933316176470586,0.03356316176470586,0.6072591379686854,0.16669632352941177,0.07651735294117651,0.03511913126462156,0.027858124999999984,0.34105677279521607,0.0541708125,0.28483743798880523,0.46610205343847727,0.5978460707542546,0.034388326897539796,0.265889875,0.0669205,0.35836976994913156,0.24821081250000004,0.1348895,-39.43427309654728,11.226537057313625,111.84622583633158,18.197605210321274,93.23192713235558,146.57334883924744,162.92265203488978,63.36801717126824,84.55867531194949,19.5726361034552,107.98432022159616,51.38361498501149,28.030003405459887,725.8000000000001,1003.4,0,3,6.525231933593773,22.689538574218773,33699.74293212891,176,962.23193359375,0.9494007246506057,13.833333015441895,37.16666793823242,0.22279635071754456,17.5,32.5,-0.000734187662601471,-0.06499999016523361,1
