ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,Days_of_data_acquisition_offset
WRS13,Wilson,2022-08-02,38.8244408,-120.255348,4.267091899,0.334765539,0.134098365,2.200048405,0.0295149999999999,0.0550899999999999,0.053055,0.33163,0.1930299999999999,0.096615,0.7241639263293344,0.2641710822246789,0.4874973531733045,0.4723291340985774,-0.1894833917955306,-0.5559406738674836,0.642336760501511,285.39825439453125,301.3329772949219,6.019785805046292,6.2506832532277805,3
WRS19,Wilson,2022-08-02,38.82451649,-120.256166,9.943069647,0.526585208,0.431446915,4.276475183,0.0253625,0.055145,0.0467025,0.3132875,0.1873925,0.0907299999999999,0.7405344592905356,0.2514480306782775,0.4749306759947871,0.4649792439446969,-0.1825506988275759,-0.5452661959490801,0.6516541847485556,285.4275207519531,301.3495483398437,5.681158763260495,6.708152668486696,3
WRS21,Wilson,2022-08-02,38.82400034,-120.256334,8.852436517,0.700946455,1.288510379,5.257738028,0.0295149999999999,0.0527524999999999,0.0573449999999999,0.2994825,0.22108,0.1201275,0.6785841898396284,0.1506111177812462,0.42564196766958,0.4238965836180561,-0.0832575349118611,-0.6147097221841821,0.5579716364964347,285.4818115234375,301.36151123046875,5.677124306904888,5.222469264975152,3
WRS7,Wilson,2022-08-02,38.82636462,-120.255742,10.29484299,0.641457182,0.040812546,4.539572039,0.0277824999999999,0.0505525,0.0510475,0.28125,0.2098875,0.1142699999999999,0.6927602524845957,0.1453004504848438,0.4172856245575903,0.414880196083732,-0.0843863904520871,-0.6117915834741208,0.5619992924490317,285.328369140625,301.3326721191406,5.563523070075664,5.509574415985109,3
WRS9,Wilson,2022-08-02,38.82582675,-120.255657,9.971826054,0.500291457,1.014483285,1.84171833,0.03881,0.07071,0.0600125,0.351155,0.2414575,0.139735,0.7080873366693622,0.185108312767618,0.5125188799814104,0.4792903061182493,-0.1279874463977091,-0.5469739803150553,0.5738201447006512,285.330810546875,301.32586669921875,4.966129260359215,5.851364299104352,9
WRSY,Wilson,2022-08-02,38.81993696,-120.257677,1.848819006,0.227731804,0.618018553,1.038915306,0.0248674999999999,0.0525875,0.048765,0.2304574999999999,0.2013625,0.114215,0.6507086642373018,0.0673776110416376,0.3398557657685461,0.3497572901193176,-0.0102828653533219,-0.5858436700137822,0.4963776761611646,285.7146911621094,301.400634765625,4.382362728785357,4.725879216651286,3
WRSZ,Wilson,2022-08-02,38.81940596,-120.257219,5.384629693,0.404013558,1.422608745,2.47587542,0.0248674999999999,0.0407899999999999,0.0359774999999999,0.2304574999999999,0.13121,0.0730474999999999,0.729934130275677,0.2744164183953493,0.3859292972288617,0.3806193610678008,-0.2086032957604804,-0.5256976744186047,0.6301391567973776,285.6958312988281,301.386474609375,5.649852905123805,6.405600722673894,3
CH01,Childs,2023-07-21,40.341096,-121.488297,8.872959971,0.700172176,2.256350755,4.116292255,0.03617,0.0624874999999999,0.0581975,0.3015175,0.2233625,0.1145175,0.6764243915321851,0.1489007011126353,0.4409800442574908,0.4245360381056514,-0.0906382343085761,-0.5627951722931609,0.568378640286838,280.9056396484375,306.7160339355469,4.825245049009805,5.180935607199622,1
CH02,Childs,2023-07-21,40.341665,-121.488444,5.253506812,0.239593476,0.378973641,1.944527453,0.0325949999999999,0.054705,0.0546774999999999,0.205075,0.2112899999999999,0.1207325,0.5790030894794084,-0.0149268070082739,0.291767141119481,0.2969338699115831,0.0561862450671365,-0.5886764788811819,0.4201048623573359,280.8936462402344,306.7125244140625,3.748743259299881,3.750628686388369,1
CH03,Childs,2023-07-21,40.341444,-121.488591,5.175052125,0.277707252,1.451760563,2.137904377,0.036115,0.0663375,0.0756324999999999,0.2533375,0.271735,0.17653,0.5401860352007782,-0.0350380185593418,0.3093168415409359,0.3215526496736914,0.0909440658270782,-0.607554592579994,0.3570504351105312,280.8995056152344,306.7149353027344,3.8189184096476354,3.3495851651075927,1
