Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,NDVI_June,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDGI_June,NDVI_Sept,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Active_growth_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter
Wilson,WRS13,2022-08-02,38.8244408,-120.255348,4.267091899,0.334765539,0.134098365,2.200048405,,0.5480493825307758,0.1245623099358808,0.357768485902272,0.3509108825771699,-0.048390418269315,0.4401886992847714,0.2983120455737881,0.5058860143346819,0.0113416528013586,0.3308319603708708,0.3252574321226705,0.0439939364213657,0.3905626566443064,0.2220719990825656,9.436203823832418,14.20990521462912,15.322054359546703,55.480887979052206,46.78503336881869,28.47842925480769,108.89374819326564,14.276492302724616,71.35605904859575,69.08182198450396,-3.2121877598105506,84.34646357970348,-105.85014746335231,56.59899186383258,517.1,2020.82080078125,571.2,100,1.6557174114610294,2,985,151,0,134,277.7411804199219,287.3330383300781,28440.8080444336,5.033294677734375,5.367592811584473,78.2504653930664,77.1982192993164,13.073224467452716,8.404690866433196,11,4.6275528865298
Wilson,WRS19,2022-08-02,38.82451649,-120.256166,9.943069647,0.526585208,0.431446915,4.276475183,,0.5354805744431125,0.118460135839096,0.3739151858764269,0.3275743603283784,-0.0383218570865021,0.4378042125616945,0.2949671665802812,0.5074924911207872,-0.0237707108832974,0.3174872515923549,0.3155865838524775,0.0725071339985194,0.3803347289670057,0.2200934754058598,9.541217041552198,14.502465259271975,15.215765339972528,53.104086088598905,45.04759352163461,26.543303221153845,113.2126370309394,13.795553608865402,68.92350318507383,67.82578488109839,-1.5848017896381243,87.96680965274169,-108.11487150234456,59.813828171397205,517.2,2019.3048095703125,572.0,101,1.4724283085303849,2,986,148,0,137,277.74591064453125,287.35009765625,28440.343872070312,5.176973342895508,5.92710018157959,77.84394073486328,74.52568817138672,16.089356594247924,11.129554862509517,11,4.813994037144639
Wilson,WRS21,2022-08-02,38.82400034,-120.256334,8.852436517,0.700946455,1.288510379,5.257738028,,0.5124717798394705,0.0605061949166141,0.3601930770308719,0.3225691173254758,0.0170121029196904,0.3796149424635692,0.2616073085363795,0.4986416286534354,-0.0354854236203123,0.3080543272026261,0.3093030564628843,0.0867265323594309,0.3507473268691691,0.2037114434863692,9.667481074862636,14.409222101648352,16.148952769574173,53.3748414680632,49.30150239010989,30.96461669642857,107.50719975671754,4.565507846726092,66.01417762087742,65.68509243117182,7.173724603064354,77.43674199335153,-113.3380087695668,51.56187547131185,517.3000000000001,2018.6080322265625,572.8000000000001,120,1.0299518682289692,2,986,152,0,135,277.7864685058594,287.3637084960937,28441.8317565918,5.421602249145508,5.751870632171631,76.84644317626953,73.50641632080078,21.44897159658311,17.74385560388097,11,4.332355780412486
Wilson,WRS7,2022-08-02,38.82636462,-120.255742,10.29484299,0.641457182,0.040812546,4.539572039,,0.48170845538626217,0.0058121390708673,0.4014250062148956,0.2903559101340583,0.0551133947394482,0.3335783316133838,0.2327053750795668,0.5231089939994309,-0.0235652065801302,0.3182938019398028,0.3155000424243935,0.0695432068647915,0.3699117774385806,0.2364490867230354,9.845697683722529,14.51201049793956,15.671130303914836,51.30002147493131,47.27708266311814,29.850443645260988,110.2852367744293,4.833296795351533,64.86412914206672,64.66690584573487,6.875261454012314,78.91659832100268,-113.22955618265196,54.89267822405742,516.8000000000001,2021.481201171875,570.2,32,1.0386480311203994,2,985,148,0,136,277.6624450683594,287.3305358886719,28436.847534179688,5.375238418579102,5.723019599914551,77.9561538696289,75.03499603271484,12.35090116919233,11.572173365579957,11,4.259658104946666
Wilson,WRS9,2022-08-02,38.82582675,-120.255657,9.971826054,0.500291457,1.014483285,1.84171833,,0.4987069608169678,0.0325575308476748,0.4362721997177108,0.3181394047272244,0.0310200580541664,0.3650986867629684,0.2501804415335331,0.5231770975845905,-0.0097229731816655,0.3342068305127039,0.329841806778504,0.059448600838218,0.3905576884057623,0.2334143036867427,9.511634982829673,14.272707376373626,15.405030604395602,53.7112983173077,50.42533368646978,30.904582663118138,108.09758472692398,3.425834784613724,68.56502493976933,67.01746393270216,6.310941419644702,78.34929236523516,-112.20977472090604,54.32652750722362,516.9,2020.584228515625,570.2,52,1.069828467850919,2,985,152,0,134,277.67657470703125,287.3241882324219,28437.80976867676,5.198947906494141,5.754922389984131,78.35539245605469,73.39071655273438,11.51467698727966,18.762069474311115,11,4.209702693579513
Wilson,WRSY,2022-08-02,38.81993696,-120.257677,1.848819006,0.227731804,0.618018553,1.038915306,,0.46071230466685203,0.0131503878816129,0.2786771487731296,0.2725954587121477,0.0571750752052216,0.3304143494255556,0.2042103618714447,0.48098426377008574,-0.0140123641754559,0.2766645236221032,0.2805090655086723,0.0708049123838695,0.3565618940293106,0.1952572725641071,9.169302694024724,13.701551950549453,15.245879744162083,45.70823279876374,44.1658676665522,28.78847912603021,100.89313329588737,1.3562721633990158,56.52440439328314,56.753173858651465,10.47794779914641,71.46738737598636,-108.12146432234375,45.96792849017397,518.4,2014.4896240234373,577.0,70,1.272302385614011,1,986,149,0,128,277.97686767578125,287.4130859375,28449.04832458496,5.050045490264893,5.454099178314209,78.40441131591797,75.92364501953125,12.443958204570038,11.355211098576818,11,4.29697823716361
Wilson,WRSZ,2022-08-02,38.81940596,-120.257219,5.384629693,0.404013558,1.422608745,2.47587542,,0.5385965432102292,0.1133309033074371,0.2957015559118412,0.2936978824753494,-0.0343786869174754,0.4378641164704938,0.2764545491025642,0.5709749742530802,0.0918521115202067,0.3022175643926421,0.3029399744503694,-0.0305485903108297,0.4674248675860792,0.2873875535178006,6.9421784872939565,10.672869586195056,10.48796049278846,44.27119012706044,31.150571729052203,18.730535492788466,126.94586351651908,34.31383509814465,66.10831924014548,65.54574000401684,-19.33274555453673,104.3455024199026,-102.6233923612904,71.82457393241162,518.4,2015.8221435546875,576.7,47,3.241340728465472,1,986,146,1,171,277.98162841796875,287.39764404296875,28450.088302612305,4.696903705596924,5.486008167266846,79.61076354980469,76.21774291992188,9.555153380426487,7.883442048248948,11,3.297872305970188
Castle Valley,CV_B_01,2024-07-26,39.34734102,-120.3529167,,,,,,0.41971223690519005,0.462087148194418,0.3036207704573297,0.2586247720965857,-0.2165173681348052,0.4677805643680151,0.224713746134813,0.5935794710115165,0.1802945649865919,0.3203188418377697,0.3213855780579095,-0.0981955104129991,0.4933938607550706,0.3031123263617156,6.21928669642857,9.350569776785711,9.660580714285716,36.38831638392857,23.49880022321429,14.895470401785715,85.29336834412754,30.35223294252248,50.358897450492194,49.00705088153916,-16.877341739895865,72.63567100208093,-63.46952918757951,45.02684900218133,565.4,2236.90771484375,406.2000000000001,14,2.202758308710594,159,953,206,7,137,275.2962341308594,285.0467529296875,29507.2900390625,5.305136680603027,6.69689416885376,76.07994842529297,71.57207489013672,10.469370939671093,8.05857229178575,5,3.526632307820826
Castle Valley,CV_B_02,2024-07-26,39.3472104,-120.3531707,,,2.670306579,,,0.31266242091174556,0.4441403521456434,0.5218346941394987,0.1778541955573204,-0.1459941320546087,0.3513402572035185,0.1769839210278837,0.5167193428774177,0.0620829194048373,0.3007624495968766,0.3028930940287834,0.006880483783099,0.393982378756382,0.2287026910011412,6.309746625,9.8663869375,10.346946,38.2438940625,29.23477375,18.5974100625,79.10369375368936,18.62199551877956,50.05926455377805,48.49120761777854,-8.175356255413414,63.49975176223528,-66.76472911428368,40.578093248293946,565.3000000000001,2237.6240234375,406.4,13,2.130035034894674,160,953,215,1,87,275.2865295410156,285.0580139160156,29508.36573791504,6.002275943756104,6.692318439483643,74.18672180175781,71.7022705078125,11.767690238456264,10.997104761230649,5,2.722945344718867
Castle Valley,CV_C_01,2024-07-26,39.34679887,-120.3528414,,,4.839201878,,,0.3182081721045234,0.4675702210919689,0.5779834914162593,0.1686262932649555,-0.1599470785797609,0.3547270631781682,0.2040517985397756,0.5580070636353954,0.0777389878655168,0.3122812514217022,0.3151177868257395,-0.0109250513900876,0.4353402621692964,0.2749854624489621,8.705400669642856,12.009010535714284,12.050697098214286,41.55216281250001,28.78004513392857,17.442770401785715,86.66858065731469,22.83014184757491,54.07025726833767,52.1853253126513,-11.561711046398049,71.18673985432125,-70.84909324843574,48.34652487525934,566.3000000000001,2235.132080078125,406.1,12,1.6264706808158456,157,953,199,0,97,275.2948608398437,285.0591735839844,29508.63694763184,6.2270097732543945,5.993772029876709,71.8636245727539,74.31400299072266,10.368178991157915,8.499163519875212,5,2.26344359798823
