ID,Burn_year,Sides
1561,2020,All sides
1565,2020,All sides
1567,2020,All sides
1568,2020,All sides
1571,2020,All sides
1572,2020,At least 1 side
1574,2020,All sides
1576,2020,All sides
1578,2020,All sides
1581,2020,All sides
1582,2020,All sides
1585,2020,All sides
1588,2020,All sides
1589,2020,At least 1 side
1589,2016,At least 1 side
1590,2020,All sides
1593,2020,All sides
1595,2020,All sides
1596,2020,At least 1 side
1596,2016,At least 1 side
1598,2020,All sides
1599,2020,All sides
1600,2020,All sides
1601,2020,All sides
1602,2020,All sides
1604,2020,All sides
1605,2020,All sides
1608,2020,All sides
1612,2020,At least 1 side
1613,2020,All sides
1614,2020,All sides
1616,2020,All sides
1619,2020,All sides
1620,2020,All sides
1621,2020,All sides
1622,2020,All sides
1624,2020,At least 1 side
1626,2020,All sides
1627,2020,All sides
1629,2020,All sides
1630,2020,At least 1 side
1634,2020,All sides
1636,2020,All sides
1639,2020,All sides
1642,2020,All sides
1648,2020,All sides
1651,2020,All sides
1653,2017,All sides
1657,2020,All sides
1660,2020,All sides
1661,2020,All sides
1662,2020,All sides
1663,2020,All sides
1664,2020,All sides
1667,2020,All sides
1669,2020,All sides
1685,2020,All sides
1687,2020,All sides
1691,2020,All sides
1703,2020,All sides
1704,2020,All sides
1711,2020,All sides
1713,2020,All sides
1716,2020,All sides
1719,2020,All sides
1720,2017,All sides
1727,2020,All sides
1728,2020,At least 1 side
1731,2020,All sides
1732,2020,All sides
1739,2020,All sides
1753,2020,All sides
1754,2020,All sides
1755,2020,All sides
1758,2020,All sides
1761,2020,All sides
1763,2020,All sides
1765,2020,All sides
1767,2020,All sides
1769,2020,All sides
1770,2020,All sides
1771,2020,All sides
1773,2020,All sides
1781,2017,At least 1 side
1793,2020,All sides
1799,2017,At least 1 side
1800,2020,All sides
1803,2020,All sides
1805,2020,All sides
1818,2017,All sides
1819,2020,All sides
1820,2020,All sides
1825,2020,All sides
1833,2020,All sides
1834,2020,All sides
1838,2020,All sides
1841,2017,All sides
1843,2017,At least 1 side
1844,2017,All sides
1846,2020,All sides
1850,2020,All sides
1851,2020,All sides
1853,2020,All sides
1855,2020,All sides
1858,2020,All sides
1866,2020,All sides
1867,2020,All sides
1868,2020,All sides
1871,2020,All sides
1877,2020,All sides
1878,2020,All sides
1880,2020,All sides
1882,2020,All sides
1885,2020,All sides
1886,2020,All sides
1898,2020,All sides
1907,2020,At least 1 side
1910,2020,All sides
1919,2020,All sides
1927,2020,All sides
1932,2020,All sides
1935,2020,All sides
1936,2020,At least 1 side
1938,2020,All sides
1939,2020,All sides
1941,2020,All sides
1942,2020,All sides
1943,2020,All sides
1945,2020,All sides
1947,2020,All sides
1950,2020,All sides
1951,2020,All sides
1953,2020,All sides
1954,2022,All sides
1956,2022,All sides
1957,2020,All sides
1961,2020,All sides
1963,2020,At least 1 side
1967,2020,At least 1 side
1968,2020,All sides
1973,2020,All sides
1974,2013,At least 1 side
1974,2022,At least 1 side
1980,2020,All sides
1981,2022,All sides
1983,2020,All sides
1986,2017,All sides
1987,2017,All sides
1988,2022,All sides
1989,2020,All sides
1990,2020,All sides
1991,2022,At least 1 side
1992,2018,All sides
1993,2005,All sides
1994,2020,All sides
1995,2018,All sides
1996,2020,All sides
1997,2020,All sides
1998,2020,All sides
1999,2018,All sides
2000,2020,All sides
2001,2003,All sides
2002,2020,All sides
2003,2018,All sides
2004,2020,All sides
2005,2003,All sides
2006,2018,All sides
2007,2018,All sides
2008,2003,All sides
2009,2020,All sides
2010,2020,All sides
2011,2018,All sides
2012,2018,All sides
2014,2018,All sides
2015,2018,All sides
2016,2018,All sides
2017,2018,All sides
2018,2018,All sides
2019,2003,All sides
2020,2018,All sides
2022,2020,At least 1 side
2026,2018,All sides
2030,2020,All sides
2031,2018,All sides
2032,2018,All sides
2036,2018,At least 1 side
2037,2018,All sides
2038,2020,All sides
2040,2018,At least 1 side
2044,2020,At least 1 side
2045,2018,All sides
2046,2020,At least 1 side
2049,2020,All sides
2051,2018,At least 1 side
2053,2020,At least 1 side
2054,2018,All sides
2059,2020,At least 1 side
2065,2020,All sides
2070,2018,All sides
2111,2015,All sides
2112,2015,All sides
2113,2015,All sides
2134,2020,All sides
2138,2020,All sides
2147,2020,All sides
2150,2020,All sides
2151,2020,All sides
2152,2020,All sides
2166,2001,All sides
2168,2020,All sides
2169,2020,All sides
2171,2020,All sides
2178,2020,All sides
2184,2020,All sides
2186,2020,All sides
2189,2020,All sides
2191,2020,All sides
2192,2020,All sides
2193,2020,All sides
2194,2020,All sides
2196,2020,At least 1 side
2198,2020,All sides
2211,2020,All sides
2219,1988,All sides
2220,2016,All sides
2230,2015,All sides
2231,2008,All sides
2234,2015,All sides
2238,2020,All sides
2242,2020,All sides
2245,2020,All sides
2256,2017,At least 1 side
2258,2020,All sides
2260,2020,All sides
2261,2020,All sides
2262,2020,All sides
2264,2020,All sides
2266,2020,All sides
2272,2020,All sides
2275,2020,All sides
2277,2020,All sides
2279,2018,All sides
2282,2020,All sides
2283,2020,All sides
2286,2020,All sides
2287,2020,All sides
2291,2020,All sides
2293,2020,All sides
2294,2020,All sides
2295,2020,At least 1 side
2298,2020,All sides
2302,2020,All sides
2303,2020,All sides
2306,2020,All sides
2307,2020,All sides
2309,2020,All sides
2310,2020,All sides
2311,2020,All sides
2313,2017,All sides
2314,2017,All sides
2315,2020,All sides
2319,2020,All sides
2320,2020,All sides
2321,2020,All sides
2327,2020,All sides
2330,2020,All sides
2344,2020,All sides
2356,2020,All sides
2359,2020,All sides
2360,2020,All sides
2365,2020,All sides
2367,2022,All sides
2368,2015,At least 1 side
2369,2015,All sides
2370,2008,At least 1 side
2371,2015,All sides
2374,2015,All sides
2375,2008,All sides
2400,2020,All sides
2401,2020,All sides
2404,2020,All sides
2405,2020,All sides
2411,2020,All sides
2419,2020,All sides
