Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN
Castle Valley,CV_B_02,2024-07-26,39.3472104,-120.3531707,,,2.670306579,,
Castle Valley,CV_C_01,2024-07-26,39.34679887,-120.3528414,,,4.839201878,,
Castle Valley,CV_C_02,2024-07-26,39.346614,-120.3532044,,,0.116607274,,
Castle Valley,CV_D_01,2024-07-26,39.34644041,-120.3519519,,,0.458120828,,
Castle Valley,CV_D_03,2024-07-26,39.34610909,-120.3525555,,,0.517973156,,
Castle Valley,CV_E_02,2024-07-26,39.34587805,-120.3515852,,,3.049280219,,
Castle Valley,CV_F_02,2024-07-26,39.34513289,-120.3513284,,,0.979501103,,
Castle Valley,CV_F_03,2024-07-26,39.34496654,-120.35135,,,2.132200448,,
Round Valley,RV_C_01,2024-07-18,39.37006763,-120.3639625,,,0.104946547,,
Round Valley,RV_D_03,2024-07-18,39.36952519,-120.3650866,,,0.489750552,,
Round Valley,RV_E_01,2024-07-18,39.36878674,-120.3651862,,,0.209893093,,
Round Valley,RV_E_03,2024-07-18,39.36881925,-120.3656209,,,5.245383016,,
Round Valley,RV_F_02,2024-07-18,39.36832418,-120.3662284,,,1.206885288,,
Round Valley,RV_F_04,2024-07-18,39.36855226,-120.3663464,,,1.743278749,,
Childs,CH01,2023-07-21,40.341096,-121.488297,8.872959971,0.700172176,2.256350755,4.116292255,
Childs,CH02,2023-07-21,40.341665,-121.488444,5.253506812,0.239593476,0.378973641,1.944527453,
Childs,CH03,2023-07-21,40.341444,-121.488591,5.175052125,0.277707252,1.451760563,2.137904377,
Childs,CH04,2023-07-21,40.340901,-121.487213,3.142165842,0.1943558,2.536208214,1.485530042,
Childs,CH05,2023-07-21,40.340258,-121.486554,14.32546639,1.267876052,2.681967307,7.260146015,
Childs,CH07,2023-07-21,40.340602,-121.4874,9.573636441,0.611380913,7.387070819,4.613378726,
Childs,CH08,2023-07-21,40.340556,-121.485676,6.817928072,0.285084528,0.974448122,2.389122401,
