UniqueID,FireID,Fire_Date,Description,Image_Date,Image_Time,Days_Difference,No_Pixels,NDWI_0_total,NDWI_0_fraction,NDWI_03_total,NDWI_03_fraction,BSI_mean,BSI_median,BSI_std,EVI_mean,EVI_median,EVI_std,NDMI_mean,NDMI_median,NDMI_std,SAVI_mean,SAVI_median,SAVI_std,ANPP_mean,ANPP_std
SNM10139,3647.0,2021-09-25,entirely_within,2021-09-23,17:30:24.7340697Z,1.2705470601851852,6,5,0.7921348314606741,0,0,-0.14577196590963773,-0.17975165507172738,0.07135641319522076,0.03422347923576066,0.006587925274104686,0.041655786743662236,0.2503493025693595,0.31452385727975746,0.14707236377587335,0.034132141748931075,0.060943768706616594,0.04040704681740458,63.33545174321341,37.06204098194534
SNM10141,3647.0,2021-10-04,entirely_within,2021-10-01,18:34:04.8513730Z,2.2263327430555555,2,2,1,0,0,-0.08663766109505008,-0.08607502881219796,0.0042197421213909,-0.07012748376955678,-0.06987180797775537,0.0019175684385107467,0.35221837247981935,0.3502603664416587,0.01468504528620529,0.02960201945697033,0.02924629351673068,0.002667944551797355,39.887967448462895,56.410104541112766
SNM10142,3647.0,2021-11-12,within_100m,2021-11-11,18:28:18.6262410Z,0.23033997685185184,1,1,0,1,0,-0.10942831826151446,-0.10942831826151446,0,0.2199954988133236,0.2199954988133236,0,0.26474172364768805,0.26474172364768805,0,-0.597187192749968,-0.597187192749968,0,0.0,
SNM10152,3647.0,2021-10-02,touching_perimeter,2021-10-01,18:34:04.8513730Z,0.22633274305555556,58,58,1,0,0,-0.15787229486831997,-0.1598635344051792,0.01600736352525267,0.010839203242569677,0.013540665676596501,0.0140056014206355,0.32496136294109057,0.3315563545072757,0.04019248270045514,0.054419581534040834,0.05183125324152234,0.009276353941112715,115.2110105050699,36.82187104626455
SNM10269,3647.0,2021-10-03,entirely_within,2021-10-01,18:34:04.8513730Z,1.2263327430555555,5,5,1,0,0,-0.11376681768284926,-0.11585560369223169,0.016133274710456884,0.007276336987332391,0.0013103448275862991,0.009187006927527587,0.2937563895567371,0.3037746944669256,0.04793842227191275,0.021897398365910245,0.025267334313631616,0.0062813306927520934,63.13876407435477,14.503415515338254
SNM10269,3898.0,2021-10-02,entirely_within,2021-10-01,18:34:04.8513730Z,0.22633274305555556,5,5,1,0,0,-0.11376681768284926,-0.11585560369223169,0.016133274710456884,0.007276336987332391,0.0013103448275862991,0.009187006927527587,0.2937563895567371,0.3037746944669256,0.04793842227191275,0.021897398365910245,0.025267334313631616,0.0062813306927520934,63.13876407435477,14.503415515338254
SNM10279,3898.0,2021-10-02,entirely_within,2021-10-01,18:34:04.8513730Z,0.22633274305555556,1,1,0,1,0,-0.15312337735636072,-0.15312337735636072,0,0.24964985994397765,0.24964985994397765,0,0.28421814980225635,0.28421814980225635,0,-0.2999554386418847,-0.2999554386418847,0,225.914516013448,193.4645230794738
SNM10279,1597.0,2016-07-18,within_100m,2016-07-15,18:34:04.2874580Z,2.2263392708333334,1,1,0,1,0,-0.38550757396491503,-0.38550757396491503,0,0.7171582926281996,0.7171582926281996,0,0.43410645852327895,0.43410645852327895,0,-0.8106531026705287,-0.8106531026705287,0,206.93284026817796,3.9385119425273043
SNM10279,3647.0,2021-10-03,entirely_within,2021-10-02,17:23:49.8697221Z,0.27511725694444444,1,1,1,0,0,-0.11118833232832191,-0.11118833232832191,0,-0.04236781639727448,-0.04236781639727448,0,0.31809194265941665,0.31809194265941665,0,0.01918023336009535,0.01918023336009535,0,225.914516013448,193.4645230794738
SNM10286,3802.0,2020-08-29,touching_perimeter,2020-08-28,17:54:59.5629987Z,0.25347729166666666,1,1,0,1,0,-0.14760352999032658,-0.14760352999032658,0,0.36284553609657777,0.36284553609657777,0,0.22707721629835675,0.22707721629835675,0,-0.6768590459932949,-0.6768590459932949,0,118.67447192993723,40.133690300813
SNM10296,3802.0,2020-08-30,touching_perimeter,2020-08-28,17:54:59.5629987Z,1.2534772916666668,9,9,0,9,0,-0.17166538262567996,-0.16075660734154598,0.030460177260701986,0.40733598007641675,0.4077446522177966,0.021445213873083097,0.23455244940869946,0.2201253335732062,0.03251557666226365,-0.6490092978679125,-0.6530202705447454,0.01660083894516962,154.14605047603067,40.99084749362409
SNM10297,3331.0,2023-11-07,entirely_within,2023-10-31,18:34:16.0277480Z,6.226203391203704,2,2,0,2,0,0.0826070632658072,0.08262579108966725,6.788836149862151e-05,0.26461914834127637,0.26231468837300637,0.008353667384978237,0.005435272003609113,0.007970267992251548,0.009189360458828824,-0.5633469742820653,-0.5624216863787782,0.0033541686494193766,137.77080193214618,73.84302870852666
SNM10304,3802.0,2020-08-29,entirely_within,2020-08-28,17:54:59.5629987Z,0.25347729166666666,3,3,0,3,0,-0.1769085993344883,-0.182071825808276,0.016457115020976406,0.44034370644649373,0.4378572229070942,0.0023911091020208043,0.23377167151487588,0.2353758510490482,0.02076768599550594,-0.6277569061100997,-0.6206584893479664,0.007936764364826815,160.20390055599154,31.690328110949896
SNM10404,2464.0,2015-09-07,within_100m,2015-08-15,18:27:46.7763382Z,22.230708611111112,2,2,0,2,0,-0.013578816473147251,-0.006494964531339646,0.01062577791271141,0.37110939045294433,0.3595451888847564,0.017346302352282555,0.05879184779976784,0.04702866897366203,0.017644768239158698,-0.5858376854228705,-0.5798393874311326,0.008997446987607183,87.34757078860432,16.80741286091844
SNM10423,2464.0,2015-09-09,within_100m,2015-09-08,18:27:48.4982230Z,0.23068868055555555,1,1,0,1,0,-0.16353428298800438,-0.16353428298800438,0,0.4764689418021151,0.4764689418021151,0,0.22526151967061325,0.22526151967061325,0,-0.6701598447874219,-0.6701598447874219,0,82.50842826967516,
SNM10436,2464.0,2015-09-25,within_100m,2015-09-24,18:27:55.7317590Z,0.23060496527777777,1,1,0,1,0,-0.12927231964406746,-0.12927231964406746,0,0.43249907421624495,0.43249907421624495,0,0.2317833121566008,0.2317833121566008,0,-0.6061248607600662,-0.6061248607600662,0,272.7784061484996,31.37832428344036
SNM10469,2464.0,2015-09-25,within_100m,2015-09-24,18:27:55.7317590Z,0.23060496527777777,86,86,0,86,0,0.004383491672213685,0.014354256205662068,0.07379794088104767,0.289005123868028,0.2814594415892766,0.0646416561324752,0.0717827840753216,0.08179628034090466,0.0837108645928054,-0.5283471359708071,-0.5387314716826686,0.05799183494842995,170.065836710088,34.6400656932144
SNM10483,2464.0,2015-08-28,within_100m,2015-08-23,18:27:42.5499560Z,4.230757534722223,3,3,0,3,0,-0.2898136446020411,-0.29202587712557115,0.013069478441654644,0.6030805455205118,0.6085096379877764,0.024837392198886418,0.37088629497723385,0.37313457332660405,0.018484308785287642,-0.6638310237365327,-0.665843654175461,0.007075925866543551,92.67082266052384,25.600258842229223
SNM10502,2464.0,2015-09-06,within_100m,2015-08-23,18:27:42.5499560Z,13.230757534722223,17,17,0,17,0,-0.047180989354428195,-0.05573535960615313,0.043952366515392735,0.4152613788325476,0.4052272537038587,0.049176809296134334,0.0966178587319835,0.11293819282529553,0.049439979239220645,-0.5324827928063013,-0.534814094526472,0.028286030116867002,47.52561410043553,36.207867673817844
SNM1053,3192.0,2014-12-13,within_100m,2014-12-01,18:33:54.5150470Z,11.226452372685186,22,22,0,22,0,-0.00499657753898321,0.01504399977579737,0.06134199772024653,0.1647231600356892,0.16183897093854216,0.02575113782137447,0.18595503853780884,0.14575031727296134,0.09577344811950511,-0.5263324623571948,-0.5221420486700623,0.06800246612692151,80.50371131022038,35.04190326058775
SNM10705,2733.0,2019-09-11,entirely_within,2019-09-08,18:45:30.8796329Z,2.2183926041666666,1,1,0,1,0,0.033507027662239154,0.033507027662239154,0,0.24785400317584524,0.24785400317584524,0,-0.004619094061551681,-0.004619094061551681,0,-0.3413467681580053,-0.3413467681580053,0,,
SNM1078,3192.0,2014-11-22,within_100m,2014-11-15,18:33:55.8256480Z,6.2264372106481485,8,8,0,8,0,0.0859712467411657,0.11001879324582133,0.045406509442113864,0.20904767010098527,0.19906614012865415,0.025519008414455324,0.004471652467269064,-0.004624741902030224,0.04765146793486782,-0.47520791796232575,-0.4983931421981253,0.06672635513403674,108.28643263308307,32.325825973136844
