Site,ID,SampleDate,Latitude,Longitude,CH4.nmol.m2.s,CO2.umol.m2.s,N2O.nmol.m2.s,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,AET,Driver,Days_of_data_acquisition_offset,Minimum_temperature,Maximum_temperature,NDVI,NDWI,EVI,SAVI,BSI,NDPI,NDGI
Calf,CP1,2022-08-03,38.93844801,-120.292258,,4.186655985,,0.036115,0.0612225,0.06334,0.3006925,0.2119225,0.1241149999999999,46,2024.1807861328125,2.146473535207672,27.200000000000003,LANDSAT_8,10.222338078703704,285.4288024902344,297.3890686035156,0.6520090925947545,0.1731708982374685,0.4208765701802294,0.4120548127529924,-0.1005522244187755,0.5389605487577842,0.36430239815766124
Calf,CP20,2022-08-03,38.93820301,-120.292458,,2.841276299,,0.0405149999999999,0.065155,0.0695,0.2933775,0.246215,0.1477649999999999,48,2023.2607421875,1.763445990341192,27.200000000000003,LANDSAT_8,10.222338078703704,285.4364318847656,297.39520263671875,0.6169506238331117,0.0874039205511566,0.3979294568490203,0.389181836355682,-0.0279822816085097,0.4768038687778763,0.32478521126110593
Calf,CP21,2022-08-03,38.93799497,-120.292262,,2.325144218,,0.0314675,0.05179,0.04541,0.283945,0.1989425,0.1231525,50,2022.4013671875,1.5337930979365224,27.200000000000003,LANDSAT_8,10.222338078703704,285.4440612792969,297.4013366699219,0.7242489107497988,0.1760296135228184,0.4516344021076967,0.4314226115475278,-0.126946129179209,0.5620182213913072,0.4646068710003209
Calf,CP22,2022-08-03,38.93781602,-120.292519,,4.266257985,,0.0410925,0.0695275,0.0713699999999999,0.2876025,0.2531725,0.1516425,51,2021.734375,1.4142866927109703,27.200000000000003,LANDSAT_8,10.222338078703704,285.4670104980469,297.4210205078125,0.6023650836763262,0.0636678840552909,0.38403680657986,0.3776008545093119,-0.0063567997856827,0.4588285242119807,0.31682723348532554
Calf,CP23,2022-08-03,38.93805499,-120.292723,,4.505832381,,0.0449424999999999,0.0713699999999999,0.0790425,0.30017,0.2619175,0.1682525,48,2022.435302734375,1.3046895454846072,27.200000000000003,LANDSAT_8,10.222338078703704,285.4592590332031,297.414794921875,0.5831229192075682,0.0680543509684879,0.3846080260199932,0.3772594793636351,-0.006052567330712,0.4346245049465318,0.28725719471898065
Calf,CP24,2022-08-03,38.93827702,-120.292909,,3.84431457,,0.0449424999999999,0.0713699999999999,0.0790425,0.30017,0.2619175,0.1682525,42,2023.3438720703125,1.4682447749642311,27.200000000000003,LANDSAT_8,10.222338078703704,285.46661376953125,297.4219055175781,0.5831229192075682,0.0680543509684879,0.3846080260199932,0.3772594793636351,-0.006052567330712,0.4346245049465318,0.28725719471898065
Calf,CP2,2022-08-03,38.93819798,-120.292089,,3.80340988,,0.0365274999999999,0.0590224999999999,0.060205,0.2917825,0.2347199999999999,0.1383325,51,2023.5753173828125,2.159868774561712,27.200000000000003,LANDSAT_8,10.222338078703704,285.4213256835937,297.3818359375,0.6579139884228843,0.1083803020878343,0.4198115559100652,0.4077128478997637,-0.0535672739817243,0.5104036715674043,0.37236973609713714
Calf,CP3,2022-08-03,38.93796999,-120.291932,,4.718283986,,0.0691425,0.09942,0.134675,0.270635,0.31007,0.2340875,51,2022.4681396484373,1.8816870710594744,27.200000000000003,LANDSAT_8,10.222338078703704,285.4288635253906,297.3879089355469,0.3354469418469814,-0.0679088349506203,0.2178683800005288,0.2252709016800875,0.1337979471589406,0.2053628592711526,0.06317631470430952
Calf,CP4,2022-08-03,38.93810402,-120.291633,,1.476636127,,0.0537975,0.0754675,0.0902899999999999,0.25496,0.3138375,0.2184674999999999,53,2022.48291015625,1.9320942015311413,27.200000000000003,LANDSAT_8,10.222338078703704,285.41363525390625,297.3744506835937,0.4769587255611877,-0.1035122341430826,0.2954848260547743,0.2922271517302574,0.1337803432531193,0.2695690580884113,0.1856931637006567
Calf,CP5,2022-08-03,38.93833897,-120.291793,,2.260778496,,0.0398274999999999,0.06312,0.0704624999999999,0.3012149999999999,0.2719,0.1658325,54,2023.605224609375,2.223099135672806,27.200000000000003,LANDSAT_8,10.222338078703704,285.4061889648437,297.3684997558594,0.6208406481425429,0.0511502926986729,0.4047483527402876,0.3970834970502279,0.0019315047446244,0.4564103159194111,0.3220461779279889
Calf,CP6,2022-08-03,38.93859202,-120.29196,,3.199971305,,0.0352625,0.0633949999999999,0.0619374999999999,0.3421625,0.2464075,0.1384975,50,2024.70751953125,2.511330087338074,27.200000000000003,LANDSAT_8,10.222338078703704,285.4137878417969,297.37579345703125,0.693454590447909,0.1626909288614777,0.4833736540012334,0.464923681008738,-0.1007334820712484,0.5631481471329397,0.41653153277908234
Calf,CP7,2022-08-03,38.938734,-120.291689,,7.45347807,,0.0352625,0.0633949999999999,0.0619374999999999,0.3421625,0.2464075,0.1384975,54,2026.3084716796875,2.7005827630909907,27.200000000000003,LANDSAT_8,10.222338078703704,285.3913269042969,297.3565673828125,0.693454590447909,0.1626909288614777,0.4833736540012334,0.464923681008738,-0.1007334820712484,0.5631481471329397,0.41653153277908234
Calf,CP8,2022-08-03,38.938503,-120.291504,,6.803414718,,0.0374075,0.0588299999999999,0.065485,0.2472599999999999,0.24781,0.1581325,54,2024.8134765625,2.576918589067862,27.200000000000003,LANDSAT_8,10.222338078703704,285.3987731933594,297.3625183105469,0.5812243201330156,-0.0011109540065042,0.3342401472477017,0.3354834542199582,0.0478750757781634,0.3988858586421482,0.2847279672511683
