ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
X12,Dixie,7/18/2016,39.93366198,-120.332703,10.98886816,0.719009193,2.198047118,5.011112164
X2,Dixie,7/18/2016,39.93470997,-120.333044,13.01429473,0.832611145,3.581439405,4.105468015
X3,Dixie,7/18/2016,39.93454602,-120.333458,10.72550007,0.714785045,1.820258856,3.602411147
X4,Dixie,7/18/2016,39.934845,-120.333505,13.21825736,0.822797559,1.711766606,5.618612769
X5,Dixie,7/18/2016,39.93482203,-120.332041,9.975618668,0.607486326,1.877377115,3.497569391
X6,Dixie,7/18/2016,39.93461601,-120.331804,14.09974835,1.084413876,2.040627299,5.855846072
X7,Dixie,7/18/2016,39.93445599,-120.33211,15.31019986,0.980828418,5.474711523,7.725445844
X8,Dixie,7/18/2016,39.934672,-120.332337,20.02309396,1.405231428,2.752441827,11.02928565
X9,Dixie,7/18/2016,39.93374697,-120.332374,10.84734058,0.736746583,4.046272414,4.522986136
D1,Dotta,6/29/2016,39.90285002,-120.369144,19.72784162,1.702103193,0.207943478,5.746586289
D10,Dotta,7/7/2016,39.90626656,-120.3808085,14.42008401,0.939828653,2.612002942,5.956539833
D11,Dotta,7/7/2016,39.90641098,-120.381115,7.543926984,0.491328502,2.938503309,3.436054075
D12,Dotta,7/7/2016,39.90658399,-120.381405,6.900145408,0.404245285,1.76076984,2.712172543
D2,Dotta,6/29/2016,39.902602,-120.368949,10.26610274,0.80435986,1.744917016,4.205570544
D3,Dotta,6/29/2016,39.90238499,-120.368752,9.193797072,0.660691713,2.223232017,3.002347542
D4,Dotta,6/29/2016,39.90252304,-120.368462,7.262524161,0.519744752,2.522917538,3.561670146
D5,Dotta,6/29/2016,39.90274399,-120.368636,8.783139195,0.655006979,4.496401014,3.208847183
D6,Dotta,6/29/2016,39.90298379,-120.3688082,11.0728706,0.818131558,1.244647198,3.710723245
D7,Dotta,7/7/2016,39.90637503,-120.381626,9.777318716,0.677042671,2.775253126,4.67674116
D8,Dotta,7/7/2016,39.90622348,-120.3813162,8.452499553,0.599027545,1.026144013,4.467057727
D9,Dotta,7/7/2016,39.90608602,-120.3810322,9.915235922,0.718163687,4.914996607,5.136948107
LC1,Lower Clarks,7/27/2016,40.12300942,-120.5030499,9.138479577,0.714038937,3.113414221,2.792785574
LC10,Lower Clarks,7/27/2016,40.12339767,-120.5046246,14.70904926,1.070590423,3.77224532,4.498771599
LC12,Lower Clarks,7/27/2016,40.12289886,-120.5043605,7.147938721,0.630972635,1.784091295,2.262303958
LC3,Lower Clarks,7/27/2016,40.12348308,-120.5033699,8.183320313,0.760528074,3.824718593,2.566291775
LC4,Lower Clarks,7/27/2016,40.12336364,-120.5036824,9.280781858,0.667363198,1.282680016,2.585258736
LC6,Lower Clarks,7/27/2016,40.12288084,-120.5033593,4.040703887,0.240178343,6.261810624,1.175045799
LC7,Lower Clarks,7/27/2016,40.1230002,-120.5040419,8.78364274,0.69446457,6.704918266,2.820474648
LC9,Lower Clarks,7/27/2016,40.12349842,-120.5043098,10.07449082,0.786080346,0.868724193,3.123681868
LX1,Lower Dixie,7/18/2016,39.93990096,-120.338961,5.677460429,0.44984847,2.786913853,1.779412475
LX10,Lower Dixie,7/18/2016,39.93799802,-120.33828,12.15962801,0.792538149,1.247697834,3.914327676
